date,gbp_5y,gbp_10y,gbp_20y,gbp_on
1975-01-02,,,,0.115
1975-01-03,,,,0.115
1975-01-06,,,,0.115
1975-01-07,,,,0.115
1975-01-08,,,,0.115
1975-01-09,,,,0.115
1975-01-10,,,,0.115
1975-01-13,,,,0.115
1975-01-14,,,,0.115
1975-01-15,,,,0.115
1975-01-16,,,,0.115
1975-01-17,,,,0.115
1975-01-20,,,,0.1125
1975-01-21,,,,0.1125
1975-01-22,,,,0.1125
1975-01-23,,,,0.1125
1975-01-24,,,,0.1125
1975-01-27,,,,0.11
1975-01-28,,,,0.11
1975-01-29,,,,0.11
1975-01-30,,,,0.11
1975-01-31,,,,0.11
1975-02-03,,,,0.11
1975-02-04,,,,0.11
1975-02-05,,,,0.11
1975-02-06,,,,0.11
1975-02-07,,,,0.11
1975-02-10,,,,0.1075
1975-02-11,,,,0.1075
1975-02-12,,,,0.1075
1975-02-13,,,,0.1075
1975-02-14,,,,0.1075
1975-02-17,,,,0.105
1975-02-18,,,,0.105
1975-02-19,,,,0.105
1975-02-20,,,,0.105
1975-02-21,,,,0.105
1975-02-24,,,,0.105
1975-02-25,,,,0.105
1975-02-26,,,,0.105
1975-02-27,,,,0.105
1975-02-28,,,,0.105
1975-03-03,,,,0.105
1975-03-04,,,,0.105
1975-03-05,,,,0.105
1975-03-06,,,,0.105
1975-03-07,,,,0.105
1975-03-10,,,,0.1025
1975-03-11,,,,0.1025
1975-03-12,,,,0.1025
1975-03-13,,,,0.1025
1975-03-14,,,,0.1025
1975-03-17,,,,0.1025
1975-03-18,,,,0.1025
1975-03-19,,,,0.1025
1975-03-20,,,,0.1025
1975-03-21,,,,0.1025
1975-03-24,,,,0.1
1975-03-25,,,,0.1
1975-03-26,,,,0.1
1975-03-27,,,,0.1
1975-04-01,,,,0.1
1975-04-02,,,,0.1
1975-04-03,,,,0.1
1975-04-04,,,,0.1
1975-04-07,,,,0.1
1975-04-08,,,,0.1
1975-04-09,,,,0.1
1975-04-10,,,,0.1
1975-04-11,,,,0.1
1975-04-14,,,,0.1
1975-04-15,,,,0.1
1975-04-16,,,,0.1
1975-04-17,,,,0.1
1975-04-18,,,,0.1
1975-04-21,,,,0.0975
1975-04-22,,,,0.0975
1975-04-23,,,,0.0975
1975-04-24,,,,0.0975
1975-04-25,,,,0.0975
1975-04-28,,,,0.0975
1975-04-29,,,,0.0975
1975-04-30,,,,0.0975
1975-05-01,,,,0.0975
1975-05-02,,,,0.0975
1975-05-05,,,,0.1
1975-05-06,,,,0.1
1975-05-07,,,,0.1
1975-05-08,,,,0.1
1975-05-09,,,,0.1
1975-05-12,,,,0.1
1975-05-13,,,,0.1
1975-05-14,,,,0.1
1975-05-15,,,,0.1
1975-05-16,,,,0.1
1975-05-19,,,,0.1
1975-05-20,,,,0.1
1975-05-21,,,,0.1
1975-05-22,,,,0.1
1975-05-23,,,,0.1
1975-05-27,,,,0.1
1975-05-28,,,,0.1
1975-05-29,,,,0.1
1975-05-30,,,,0.1
1975-06-02,,,,0.1
1975-06-03,,,,0.1
1975-06-04,,,,0.1
1975-06-05,,,,0.1
1975-06-06,,,,0.1
1975-06-09,,,,0.1
1975-06-10,,,,0.1
1975-06-11,,,,0.1
1975-06-12,,,,0.1
1975-06-13,,,,0.1
1975-06-16,,,,0.1
