series,X,financing,f_kelly,f_growth,cagr_at_growth,f_meanlog,f_p5,cagr_p5_at_p5,f_budget,cagr_at_budget
mkt,0,broker,2.11812782023486,2.1,0.12513282657137215,2.1,0.6,0.03839918888885387,0.9,0.09692645474453998
mkt,20,broker,1.6025575085884953,1.6,0.08870162853249852,1.6,0.1,0.03118556587758945,0.8,0.0750658937245654
mkt,100,broker,0.7684709226600148,0.8,0.041256782916450074,0.8,0.1,0.026055042661399998,0.6,0.04049632602604025
mkt,0,frictionless,2.6163616454101675,2.7,0.14969315827528007,2.6,0.6,0.03839918888885387,0.9,0.09692645474453998
mkt,5,frictionless,2.47253912159476,2.4,0.13413029224201478,2.5,0.5,0.035351082749379446,0.9,0.09116575392272419
mkt,10,frictionless,2.3515828464936184,2.4,0.1233174800431115,2.4,0.3,0.03300780101171639,0.8,0.08167194984491566
mkt,20,frictionless,2.1307090408990366,2.1,0.10404726437905232,2.1,0.1,0.03118556587758945,0.8,0.0750658937245654
mkt,50,frictionless,1.5647665966724562,1.6,0.06856906644870242,1.5,0.1,0.028805258701435778,0.7,0.0570039096596765
mkt,100,frictionless,0.7684709226600148,0.8,0.041256782916450074,0.8,0.1,0.026055042661399998,0.6,0.04049632602604025
mkt,200,frictionless,4.4755769933956584e-05,0.1,0.030194821292974794,0.1,0.1,0.02205107484658131,0.5,0.020787499045163638
mkt,0,letf,2.2157019081907054,2.2,0.11897130181772508,2.2,0.6,0.02900286979992014,0.9,0.08700236760226854
mkt,20,letf,1.7060927739858625,1.7,0.08107362179437083,1.7,0.1,0.02185525403605154,0.7,0.0609815369956187
mkt,100,letf,0.7684709226600148,0.8,0.03183467464829437,0.8,0.1,0.016770884127458585,0.6,0.031081213018290255
scv,0,broker,2.439248229394407,2.4,0.19826212744381522,2.4,0.8,0.048453604421223775,0.7,0.11383466783720464
scv,20,broker,2.036687709736198,2.0,0.14458437423445736,2.0,0.4,0.034369105103262666,0.6,0.08838202359527747
scv,100,broker,1.000019233789488,1.0,0.06656425969046065,1.0,0.1,0.02711433480810569,0.5,0.05396245156122603
scv,0,frictionless,2.78009325764397,2.8,0.2291774868422395,2.8,0.8,0.048453604421223775,0.7,0.11383466783720464
scv,5,frictionless,2.644666618808712,2.7,0.20437099436051565,2.7,0.7,0.0439574472862184,0.7,0.10729190357838003
scv,10,frictionless,2.5550794400271895,2.6,0.18844770195742233,2.5,0.5,0.037913335417656624,0.7,0.1024631374446966
scv,20,frictionless,2.397925066647456,2.4,0.16690814719538827,2.4,0.4,0.034369105103262666,0.6,0.08838202359527747
scv,50,frictionless,1.9623230722507539,1.9,0.11447090197152798,1.9,0.1,0.030205561689688142,0.6,0.07421554060608437
scv,100,frictionless,1.3095708562955046,1.3,0.06925683781238556,1.3,0.1,0.02711433480810569,0.5,0.05396245156122603
scv,200,frictionless,0.09824432009253584,0.2,0.03270454781715104,0.1,0.1,0.021800305937482577,0.4,0.03163072316641491
scv,0,letf,2.5058696842949515,2.5,0.19260467557651983,2.5,0.8,0.03896651120062884,0.7,0.10375864174602056
scv,20,letf,2.107407369993301,2.1,0.13801118292923786,2.1,0.4,0.025009497474311505,0.6,0.07853547005667472
scv,100,letf,1.000019233789488,1.0,0.05691375508064711,1.0,0.1,0.017820919167110538,0.5,0.04442632584334116
