series,scenario,bin_lo,bin_hi,share
mkt,full_x0,-0.2,-0.195,0.0005336789539892502
mkt,full_x0,-0.195,-0.19,7.623985056989288e-05
mkt,full_x0,-0.19,-0.185,7.623985056989288e-05
mkt,full_x0,-0.185,-0.18,0.00015247970113978576
mkt,full_x0,-0.18,-0.175,0.00015247970113978576
mkt,full_x0,-0.175,-0.17,7.623985056989288e-05
mkt,full_x0,-0.17,-0.165,7.623985056989288e-05
mkt,full_x0,-0.165,-0.16,0.00015247970113978576
mkt,full_x0,-0.16,-0.155,3.811992528494644e-05
mkt,full_x0,-0.155,-0.15,0.00022871955170967865
mkt,full_x0,-0.15,-0.145,0.00019059962642473222
mkt,full_x0,-0.145,-0.14,0.00019059962642473222
mkt,full_x0,-0.14,-0.135,0.00019059962642473222
mkt,full_x0,-0.135,-0.13,0.00041931917813441084
mkt,full_x0,-0.13,-0.125,0.0002668394769946251
mkt,full_x0,-0.125,-0.12,0.0004574391034193573
mkt,full_x0,-0.12,-0.115,0.0003049594022795715
mkt,full_x0,-0.115,-0.11,0.0005336789539892502
mkt,full_x0,-0.11,-0.105,0.000609918804559143
mkt,full_x0,-0.105,-0.1,0.0004955590287043037
mkt,full_x0,-0.1,-0.095,0.0008386383562688217
mkt,full_x0,-0.095,-0.09,0.001219837609118286
mkt,full_x0,-0.09,-0.085,0.001296077459688179
mkt,full_x0,-0.085,-0.08,0.0015629169366828042
mkt,full_x0,-0.08,-0.075,0.002744634620516144
mkt,full_x0,-0.075,-0.07,0.002134715815957001
mkt,full_x0,-0.07,-0.065,0.0033545534250752867
mkt,full_x0,-0.065,-0.06,0.00396447222963443
mkt,full_x0,-0.06,-0.055,0.00503183013761293
mkt,full_x0,-0.055,-0.05,0.005832348568596805
mkt,full_x0,-0.05,-0.045,0.008805702740822628
mkt,full_x0,-0.045,-0.04,0.011283497884344146
mkt,full_x0,-0.04,-0.035,0.014943010711699005
mkt,full_x0,-0.035,-0.03,0.01799260473449472
mkt,full_x0,-0.03,-0.025,0.026378988297182937
mkt,full_x0,-0.025,-0.02,0.03575648991727976
mkt,full_x0,-0.02,-0.015,0.04414287347996798
mkt,full_x0,-0.015,-0.01,0.06251667746731217
mkt,full_x0,-0.01,-0.005,0.08416879502916175
mkt,full_x0,-0.005,0.0,0.11413105630312964
mkt,full_x0,0.0,0.005,0.12842602828498456
mkt,full_x0,0.005,0.01,0.10989974459650059
mkt,full_x0,0.01,0.015,0.0862653909198338
mkt,full_x0,0.015,0.02,0.06255479739259712
mkt,full_x0,0.02,0.025,0.04376167422711851
mkt,full_x0,0.025,0.03,0.03011474097510769
mkt,full_x0,0.03,0.035,0.021080318682575382
mkt,full_x0,0.035,0.04,0.016429687797811916
mkt,full_x0,0.04,0.045,0.011626577211908665
mkt,full_x0,0.045,0.05,0.007852704608698967
mkt,full_x0,0.05,0.055,0.005527389166317234
mkt,full_x0,0.055,0.06,0.004536271108908627
mkt,full_x0,0.06,0.065,0.003507033126215073
mkt,full_x0,0.065,0.07,0.0020584759653871076
mkt,full_x0,0.07,0.075,0.001982236114817215
mkt,full_x0,0.075,0.08,0.0015247970113978577
mkt,full_x0,0.08,0.085,0.0012579575344032325
mkt,full_x0,0.085,0.09,0.0009148782068387146
mkt,full_x0,0.09,0.095,0.0012579575344032325
mkt,full_x0,0.095,0.1,0.0008005184309838753
mkt,full_x0,0.1,0.105,0.0008386383562688217
mkt,full_x0,0.105,0.11,0.000686158655129036
mkt,full_x0,0.11,0.115,0.0004955590287043037
mkt,full_x0,0.115,0.12,0.00038119925284946444
mkt,full_x0,0.12,0.125,0.0003049594022795715
mkt,full_x0,0.125,0.13,0.00019059962642473222
mkt,full_x0,0.13,0.135,0.0002668394769946251
mkt,full_x0,0.135,0.14,0.00011435977585483933
mkt,full_x0,0.14,0.145,0.00019059962642473222
mkt,full_x0,0.145,0.15,0.00015247970113978576
mkt,full_x0,0.15,0.155,0.00011435977585483933
mkt,full_x0,0.155,0.16,0.00011435977585483933
mkt,full_x0,0.16,0.165,0.00019059962642473222
mkt,full_x0,0.165,0.17,0.0002668394769946251
mkt,full_x0,0.17,0.175,0.0
mkt,full_x0,0.175,0.18,7.623985056989288e-05
mkt,full_x0,0.18,0.185,7.623985056989288e-05
mkt,full_x0,0.185,0.19,3.811992528494644e-05
mkt,full_x0,0.19,0.195,7.623985056989288e-05
mkt,full_x0,0.195,0.2,0.0007242785804139824
mkt,half_x0,-0.2,-0.195,3.811992528494644e-05
mkt,half_x0,-0.195,-0.19,0.0
mkt,half_x0,-0.19,-0.185,0.0
mkt,half_x0,-0.185,-0.18,0.0
mkt,half_x0,-0.18,-0.175,0.0
mkt,half_x0,-0.175,-0.17,0.0
mkt,half_x0,-0.17,-0.165,0.0
mkt,half_x0,-0.165,-0.16,0.0
mkt,half_x0,-0.16,-0.155,3.811992528494644e-05
mkt,half_x0,-0.155,-0.15,3.811992528494644e-05
mkt,half_x0,-0.15,-0.145,3.811992528494644e-05
mkt,half_x0,-0.145,-0.14,0.0
mkt,half_x0,-0.14,-0.135,0.0
mkt,half_x0,-0.135,-0.13,0.0
mkt,half_x0,-0.13,-0.125,7.623985056989288e-05
mkt,half_x0,-0.125,-0.12,0.0
mkt,half_x0,-0.12,-0.115,7.623985056989288e-05
mkt,half_x0,-0.115,-0.11,7.623985056989288e-05
mkt,half_x0,-0.11,-0.105,0.00011435977585483933
mkt,half_x0,-0.105,-0.1,3.811992528494644e-05
mkt,half_x0,-0.1,-0.095,7.623985056989288e-05
mkt,half_x0,-0.095,-0.09,0.00022871955170967865
mkt,half_x0,-0.09,-0.085,0.00022871955170967865
mkt,half_x0,-0.085,-0.08,0.00022871955170967865
mkt,half_x0,-0.08,-0.075,0.0002668394769946251
mkt,half_x0,-0.075,-0.07,0.00038119925284946444
mkt,half_x0,-0.07,-0.065,0.000609918804559143
mkt,half_x0,-0.065,-0.06,0.0007242785804139824
mkt,half_x0,-0.06,-0.055,0.0008386383562688217
mkt,half_x0,-0.055,-0.05,0.0011054778332634468
mkt,half_x0,-0.05,-0.045,0.0020584759653871076
mkt,half_x0,-0.045,-0.04,0.002858994396370983
mkt,half_x0,-0.04,-0.035,0.004688750810048412
mkt,half_x0,-0.035,-0.03,0.007357145579994663
mkt,half_x0,-0.03,-0.025,0.010902298631494682
mkt,half_x0,-0.025,-0.02,0.019974840849311934
mkt,half_x0,-0.02,-0.015,0.03270689589448405
mkt,half_x0,-0.015,-0.01,0.061563679335188505
mkt,half_x0,-0.01,-0.005,0.10616399191857584
mkt,half_x0,-0.005,0.0,0.19734685320016773
mkt,half_x0,0.0,0.005,0.23840201273205505
mkt,half_x0,0.005,0.01,0.149468227042275
mkt,half_x0,0.01,0.015,0.07498189303548965
mkt,half_x0,0.015,0.02,0.03773872603209698
mkt,half_x0,0.02,0.025,0.01982236114817215
mkt,half_x0,0.025,0.03,0.009949300499371021
mkt,half_x0,0.03,0.035,0.005717988792741966
mkt,half_x0,0.035,0.04,0.003545153051500019
mkt,half_x0,0.04,0.045,0.002134715815957001
mkt,half_x0,0.045,0.05,0.0020965958906720545
mkt,half_x0,0.05,0.055,0.0014866770861129111
mkt,half_x0,0.055,0.06,0.0009148782068387146
mkt,half_x0,0.06,0.065,0.0004955590287043037
mkt,half_x0,0.065,0.07,0.00038119925284946444
mkt,half_x0,0.07,0.075,0.000343079327564518
mkt,half_x0,0.075,0.08,0.00022871955170967865
mkt,half_x0,0.08,0.085,0.0004574391034193573
mkt,half_x0,0.085,0.09,7.623985056989288e-05
mkt,half_x0,0.09,0.095,0.00011435977585483933
mkt,half_x0,0.095,0.1,7.623985056989288e-05
mkt,half_x0,0.1,0.105,0.00019059962642473222
mkt,half_x0,0.105,0.11,7.623985056989288e-05
mkt,half_x0,0.11,0.115,0.00011435977585483933
mkt,half_x0,0.115,0.12,3.811992528494644e-05
mkt,half_x0,0.12,0.125,3.811992528494644e-05
mkt,half_x0,0.125,0.13,7.623985056989288e-05
mkt,half_x0,0.13,0.135,0.0
mkt,half_x0,0.135,0.14,0.0
mkt,half_x0,0.14,0.145,3.811992528494644e-05
mkt,half_x0,0.145,0.15,0.00011435977585483933
mkt,half_x0,0.15,0.155,0.0
mkt,half_x0,0.155,0.16,0.0
mkt,half_x0,0.16,0.165,0.0
mkt,half_x0,0.165,0.17,0.0
mkt,half_x0,0.17,0.175,0.0
mkt,half_x0,0.175,0.18,0.0
mkt,half_x0,0.18,0.185,0.0
mkt,half_x0,0.185,0.19,0.0
mkt,half_x0,0.19,0.195,0.0
mkt,half_x0,0.195,0.2,3.811992528494644e-05
mkt,quarter_x0,-0.2,-0.195,0.0
mkt,quarter_x0,-0.195,-0.19,0.0
mkt,quarter_x0,-0.19,-0.185,0.0
mkt,quarter_x0,-0.185,-0.18,0.0
mkt,quarter_x0,-0.18,-0.175,0.0
mkt,quarter_x0,-0.175,-0.17,0.0
mkt,quarter_x0,-0.17,-0.165,0.0
mkt,quarter_x0,-0.165,-0.16,0.0
mkt,quarter_x0,-0.16,-0.155,0.0
mkt,quarter_x0,-0.155,-0.15,0.0
mkt,quarter_x0,-0.15,-0.145,0.0
mkt,quarter_x0,-0.145,-0.14,0.0
mkt,quarter_x0,-0.14,-0.135,0.0
mkt,quarter_x0,-0.135,-0.13,0.0
mkt,quarter_x0,-0.13,-0.125,0.0
mkt,quarter_x0,-0.125,-0.12,0.0
mkt,quarter_x0,-0.12,-0.115,0.0
mkt,quarter_x0,-0.115,-0.11,3.811992528494644e-05
mkt,quarter_x0,-0.11,-0.105,0.0
mkt,quarter_x0,-0.105,-0.1,0.0
mkt,quarter_x0,-0.1,-0.095,0.0
mkt,quarter_x0,-0.095,-0.09,0.0
mkt,quarter_x0,-0.09,-0.085,0.0
mkt,quarter_x0,-0.085,-0.08,0.0
mkt,quarter_x0,-0.08,-0.075,7.623985056989288e-05
mkt,quarter_x0,-0.075,-0.07,3.811992528494644e-05
mkt,quarter_x0,-0.07,-0.065,0.0
mkt,quarter_x0,-0.065,-0.06,7.623985056989288e-05
mkt,quarter_x0,-0.06,-0.055,0.00015247970113978576
mkt,quarter_x0,-0.055,-0.05,0.00015247970113978576
mkt,quarter_x0,-0.05,-0.045,0.0003049594022795715
mkt,quarter_x0,-0.045,-0.04,0.0004574391034193573
mkt,quarter_x0,-0.04,-0.035,0.0006480387298440895
mkt,quarter_x0,-0.035,-0.03,0.001296077459688179
mkt,quarter_x0,-0.03,-0.025,0.001982236114817215
mkt,quarter_x0,-0.025,-0.02,0.0048031105859032515
mkt,quarter_x0,-0.02,-0.015,0.012045896390043076
mkt,quarter_x0,-0.015,-0.01,0.030229100750962527
mkt,quarter_x0,-0.01,-0.005,0.0930888575458392
mkt,quarter_x0,-0.005,0.0,0.29855525483170053
mkt,quarter_x0,0.0,0.005,0.39213967140624406
mkt,quarter_x0,0.005,0.01,0.11451225555597912
mkt,quarter_x0,0.01,0.015,0.03041970037738726
mkt,quarter_x0,0.015,0.02,0.009415621545381772
mkt,quarter_x0,0.02,0.025,0.004269431631914002
mkt,quarter_x0,0.025,0.03,0.0023634353676666793
mkt,quarter_x0,0.03,0.035,0.0008767582815537682
mkt,quarter_x0,0.035,0.04,0.000609918804559143
mkt,quarter_x0,0.04,0.045,0.0005336789539892502
mkt,quarter_x0,0.045,0.05,0.00019059962642473222
mkt,quarter_x0,0.05,0.055,0.0002668394769946251
mkt,quarter_x0,0.055,0.06,0.00015247970113978576
mkt,quarter_x0,0.06,0.065,0.00011435977585483933
mkt,quarter_x0,0.065,0.07,0.0
mkt,quarter_x0,0.07,0.075,0.00015247970113978576
mkt,quarter_x0,0.075,0.08,0.0
mkt,quarter_x0,0.08,0.085,0.0
mkt,quarter_x0,0.085,0.09,0.0
mkt,quarter_x0,0.09,0.095,0.0
mkt,quarter_x0,0.095,0.1,0.0
mkt,quarter_x0,0.1,0.105,3.811992528494644e-05
mkt,quarter_x0,0.105,0.11,0.0
mkt,quarter_x0,0.11,0.115,0.0
mkt,quarter_x0,0.115,0.12,0.0
mkt,quarter_x0,0.12,0.125,0.0
mkt,quarter_x0,0.125,0.13,0.0
mkt,quarter_x0,0.13,0.135,0.0
mkt,quarter_x0,0.135,0.14,0.0
mkt,quarter_x0,0.14,0.145,0.0
mkt,quarter_x0,0.145,0.15,0.0
mkt,quarter_x0,0.15,0.155,0.0
