series,frac,X,scenario,label,kelly_mult,leverage,n_obs,cagr,ann_vol,sharpe,sortino,max_dd,calmar,final_wealth,log_final_wealth,final_wealth_raw,worst_day,best_day,worst_month,mdd_peak,mdd_trough,mdd_recovery,mdd_recovered,mdd_duration_days,mdd_recovery_days,mdd_duration_tdays,mdd_recovery_tdays,longest_underwater_days,n_dd_20,n_dd_35,n_dd_50,pct_days_below_20,q01,q05,q50,q95,q99,skew,kurt,wiped_out
mkt,full,0,full_x0,"Full Kelly, original",1.0,2.6163616454101675,26233,0.14903182447736774,0.4571129145667999,0.46614813037710473,0.6570431657481695,-0.9966754611485887,0.14952893924529906,1054300.8838567971,13.868388435899895,1054300.8838568085,-0.4559934709595332,0.4099838698357733,-0.6104393148826501,1929-09-03,1932-07-08,1954-02-04,True,8920.0,7881.0,7107,6262,8920.0,32,14,9,0.6196393855068044,-0.08061012769786792,-0.041238513997480644,0.0017698169872461004,0.03924542468115251,0.07803557703322302,-0.16136801291767994,16.134456146026313,False
mkt,half,0,half_x0,"Half Kelly, original",0.5,1.3081808227050837,26233,0.11820138587007545,0.228546674180072,0.46614813037710473,0.6570431657481695,-0.9175848811609626,0.12881793095862984,69785.7099319718,11.153184539022357,69785.70993197126,-0.2278467354797666,0.20499193491788664,-0.36494235466291225,1929-09-03,1932-07-08,1945-10-01,True,5872.0,4833.0,4798,3953,5872.0,19,9,4,0.3467007204665879,-0.04027106384893396,-0.020538438916469816,0.0009232723290820335,0.019691894258305746,0.03905178851661153,-0.16403206846925103,16.12979217984354,False
mkt,quarter,0,quarter_x0,"Quarter Kelly, original",0.25,0.6540904113525419,26233,0.08124897953109812,0.1142700235401623,0.46614813037710473,0.6570431657481695,-0.6806677551014767,0.11936657631003131,2436.7573240471997,7.798423468874926,2436.7573240471665,-0.11377336773988331,0.10249596745894332,-0.19975284637958501,1929-09-03,1932-06-01,1943-06-05,True,5023.0,4021.0,4112,3297,5023.0,7,2,1,0.125986353066748,-0.020048575628523035,-0.010203810417099654,0.0005232723290820335,0.009942174252558637,0.019612850554249703,-0.16933866312555826,16.116793934321954,False
mkt,unlev,0,unlev_x0,"Unlevered 1.00x, original",,1.0,26233,0.10244467074804008,0.17470275413524233,0.46614813037710473,0.6570431657481696,-0.8407399476860208,0.12185060437534798,16923.50490197985,9.736458757215637,16923.504901979693,-0.1741,0.1567,-0.2911037495299549,1929-09-03,1932-07-08,1945-02-06,True,5635.0,4596.0,4613,3768,5635.0,16,5,2,0.25540349940914114,-0.0307,-0.0157,0.0007999999999999999,0.0151,0.029900000000000003,-0.16567074074665789,16.126307820442385,False
mkt,full,5,full_x5,"Full Kelly, -5 best days",1.0,2.6163616454101675,26228,0.13341353066468856,0.4515708614653815,0.4369483393778779,0.608357655529064,-0.9983022859126001,0.13364041387797515,268910.05437755515,12.502132232326078,268270.03100221104,-0.4559934709595332,0.25588016892111437,-0.6196019052243699,1929-09-03,1933-03-31,1955-06-06,True,9407.0,8102.0,7439,6388,9407.0,32,14,9,0.6539576025621473,-0.08063129131432203,-0.041238513997480644,0.0017698169872461004,0.03922385202356302,0.07759030470414087,-0.45594065057188754,13.495830520286244,False
mkt,half,5,half_x5,"Half Kelly, -5 best days",0.5,1.3081808227050837,26228,0.11005607291584057,0.22577696258526309,0.4369483393778779,0.608357655529064,-0.9372781957183903,0.11742092520512175,33635.24218546113,10.42332967083399,33568.4859639827,-0.2278467354797666,0.12794008446055719,-0.36494235466291225,1929-09-03,1932-07-08,1950-11-22,True,7750.0,6711.0,6244,5401,7750.0,18,8,4,0.38851608967515633,-0.040279145657161015,-0.020538438916469816,0.0009194994524877961,0.019691894258305746,0.03885297043434099,-0.45850675032202265,13.493738743723181,False
mkt,quarter,5,quarter_x5,"Quarter Kelly, -5 best days",0.25,0.6540904113525419,26228,0.07716018160310333,0.11288656233983775,0.4369483393778779,0.608357655529064,-0.7227408803528812,0.10676050532167151,1669.3584985908417,7.4201946990326455,1666.999216417182,-0.11377336773988331,0.06397004223027859,-0.19975284637958501,1929-09-03,1932-06-01,1945-11-07,True,5909.0,4907.0,4822,4009,5909.0,7,2,1,0.19723196583803568,-0.020053575628523036,-0.010203810417099654,0.0005232723290820335,0.009942174252558637,0.019454490817055536,-0.46356526568051354,13.486410084905106,False
mkt,unlev,5,unlev_x5,"Unlevered 1.00x, -5 best days",,1.0,26228,0.09619772988090666,0.17258617010172575,0.43694833937787786,0.6083576555290641,-0.8711707447236291,0.11042350820839893,9596.631633306002,9.169167444355482,9579.874823757666,-0.1741,0.0978,-0.2911037495299549,1929-09-03,1932-07-08,1950-02-04,True,7459.0,6420.0,6022,5179,7459.0,15,5,2,0.29373188958365104,-0.0307,-0.015700000000000002,0.0007999999999999999,0.0151,0.0297,-0.46007638716268795,13.491927115721047,False
mkt,full,10,full_x10,"Full Kelly, -10 best days",1.0,2.6163616454101675,26223,0.12112844591009542,0.44832714553251646,0.4129792954883247,0.5708003578496096,-0.9983022859126001,0.12133443709323534,90595.85952293735,11.414163790356936,90202.52686188214,-0.4559934709595332,0.22683855465706151,-0.6659872846565488,1929-09-03,1933-03-31,1955-09-06,True,9499.0,8194.0,7502,6451,9499.0,32,14,10,0.6667048011287801,-0.08065245493077611,-0.041238513997480644,0.0017698169872461004,0.039183788516611494,0.07718266853959994,-0.5905465595082936,12.834811687223826,False
mkt,half,10,half_x10,"Half Kelly, -10 best days",0.5,1.3081808227050837,26223,0.10370224575623813,0.22415556534920547,0.4129792954883247,0.5708003578496096,-0.9372781957183903,0.11064190571162712,18963.50663742744,9.850271707939411,18892.433778675,-0.2278467354797666,0.11341927732853076,-0.40357156127674365,1929-09-03,1932-07-08,1951-01-29,True,7818.0,6779.0,6297,5454,7818.0,18,8,4,0.4030812645387637,-0.040287227465388056,-0.020538438916469816,0.0009157265758935587,0.019622712340576255,0.03859133426979997,-0.5931209809101889,12.833050823675977,False
