series,frac,leverage,X,share_of_log_growth,pct_of_days,overlap_with_levered_best
mkt,full,2.6163616454101675,10,0.17727912133521195,0.00038119925284946444,1.0
mkt,full,2.6163616454101675,25,0.37554629819706686,0.000952998132123661,1.0
mkt,full,2.6163616454101675,100,1.0578759639766682,0.003811992528494644,1.0
mkt,half,1.3081808227050837,10,0.11715647156439073,0.00038119925284946444,1.0
mkt,half,1.3081808227050837,25,0.24611919934377666,0.000952998132123661,1.0
mkt,half,1.3081808227050837,100,0.684125986335228,0.003811992528494644,1.0
mkt,quarter,0.6540904113525419,10,0.08662172332686896,0.00038119925284946444,1.0
mkt,quarter,0.6540904113525419,25,0.18110563888730657,0.000952998132123661,1.0
mkt,quarter,0.6540904113525419,100,0.49977316211890144,0.003811992528494644,1.0
mkt,unlev,1.0,10,0.10418280079585628,0.00038119925284946444,1.0
mkt,unlev,1.0,25,0.21838453101516606,0.000952998132123661,1.0
mkt,unlev,1.0,100,0.6049827590814498,0.003811992528494644,1.0
scv,full,2.78009325764397,10,0.16573289831824015,0.00038119925284946444,1.0
scv,full,2.78009325764397,25,0.3173535554567988,0.000952998132123661,1.0
scv,full,2.78009325764397,100,0.9000436301498631,0.003811992528494644,1.0
scv,half,1.390046628821985,10,0.11553191897032443,0.00038119925284946444,1.0
scv,half,1.390046628821985,25,0.21720067887932049,0.000952998132123661,1.0
scv,half,1.390046628821985,100,0.6036396518762115,0.003811992528494644,1.0
scv,quarter,0.6950233144109925,10,0.09182935618495586,0.00038119925284946444,1.0
scv,quarter,0.6950233144109925,25,0.17072570238853949,0.000952998132123661,1.0
scv,quarter,0.6950233144109925,100,0.46881866628669067,0.003811992528494644,1.0
scv,unlev,1.0,10,0.10341661872504311,0.00038119925284946444,1.0
scv,unlev,1.0,25,0.19324850132888932,0.000952998132123661,1.0
scv,unlev,1.0,100,0.5335577250623261,0.003811992528494644,1.0
