date,series,nav_full_x0,dd_full_x0,nav_half_x0,dd_half_x0,nav_quarter_x0,dd_quarter_x0,nav_full_x10,dd_full_x10,nav_half_x10,dd_half_x10,nav_quarter_x10,dd_quarter_x10,nav_full_x25,dd_full_x25,nav_half_x25,dd_half_x25,nav_quarter_x25,dd_quarter_x25,nav_full_x100,dd_full_x100,nav_half_x100,dd_half_x100,nav_quarter_x100,dd_quarter_x100,wf_f_x0,wf_f_x10,wf_f_x25,wf_f_x100
1926-07-31,mkt,1.07932,-0.0521428,1.04066,-0.0260738,1.02152,-0.0128504,1.07932,-0.0521428,1.04066,-0.0260738,1.02152,-0.0128504,1.07932,-0.0521428,1.04066,-0.0260738,1.02152,-0.0128504,1.07932,-0.0521428,1.04066,-0.0260738,1.02152,-0.0128504,,,,
1926-08-31,mkt,1.15562,-0.0508012,1.07906,-0.0254372,1.04175,-0.0126527,1.15562,-0.0508012,1.07906,-0.0254372,1.04175,-0.0126527,1.15562,-0.0508012,1.07906,-0.0254372,1.04175,-0.0126527,1.15562,-0.0508012,1.07906,-0.0254372,1.04175,-0.0126527,,,,
1926-09-30,mkt,1.16774,-0.0600027,1.08652,-0.0297764,1.04672,-0.0144936,1.16774,-0.0600027,1.08652,-0.0297764,1.04672,-0.0144936,1.16774,-0.0600027,1.08652,-0.0297764,1.04672,-0.0144936,1.16774,-0.0600027,1.08652,-0.0297764,1.04672,-0.0144936,,,,
1926-10-31,mkt,1.06887,-0.168213,1.04236,-0.0849025,1.02689,-0.0412978,1.06887,-0.168213,1.04236,-0.0849025,1.02689,-0.0412978,1.06887,-0.168213,1.04236,-0.0849025,1.02689,-0.0412978,1.06887,-0.168213,1.04236,-0.0849025,1.02689,-0.0412978,,,,
1926-11-30,mkt,1.14395,-0.10184,1.07997,-0.0482867,1.04659,-0.0217305,1.14395,-0.10184,1.07997,-0.0482867,1.04659,-0.0217305,1.14395,-0.10184,1.07997,-0.0482867,1.04659,-0.0217305,1.14395,-0.10184,1.07997,-0.0482867,1.04659,-0.0217305,,,,
1926-12-31,mkt,1.22549,-0.0412342,1.11968,-0.0170283,1.06714,-0.00842449,1.22549,-0.0412342,1.11968,-0.0170283,1.06714,-0.00842449,1.22549,-0.0412342,1.11968,-0.0170283,1.06714,-0.00842449,1.22549,-0.0412342,1.11968,-0.0170283,1.06714,-0.00842449,,,,
1927-01-31,mkt,1.22548,-0.0609212,1.12148,-0.0292099,1.06944,-0.0142136,1.22548,-0.0609212,1.12148,-0.0292099,1.06944,-0.0142136,1.22548,-0.0609212,1.12148,-0.0292099,1.06944,-0.0142136,1.22548,-0.0609212,1.12148,-0.0292099,1.06944,-0.0142136,,,,
1927-02-28,mkt,1.36695,-0.0232594,1.18597,-0.00965769,1.10101,-0.00411688,1.36695,-0.0232594,1.18597,-0.00965769,1.10101,-0.00411688,1.36695,-0.0232594,1.18597,-0.00965769,1.10101,-0.00411688,1.36695,-0.0232594,1.18597,-0.00965769,1.10101,-0.00411688,,,,
1927-03-31,mkt,1.37346,-0.0419568,1.19126,-0.0208544,1.10516,-0.010246,1.37346,-0.0419568,1.19126,-0.0208544,1.10516,-0.010246,1.37346,-0.0419568,1.19126,-0.0208544,1.10516,-0.010246,1.37346,-0.0419568,1.19126,-0.0208544,1.10516,-0.010246,,,,
1927-04-30,mkt,1.39261,-0.0722796,1.20164,-0.0362142,1.11149,-0.0179377,1.39261,-0.0722796,1.20164,-0.0362142,1.11149,-0.0179377,1.39261,-0.0722796,1.20164,-0.0362142,1.11149,-0.0179377,1.39261,-0.0722796,1.20164,-0.0362142,1.11149,-0.0179377,,,,
