variant,series,frac,X,scenario,label,kelly_mult,leverage,leverage_min,leverage_max,n_obs,cagr,ann_vol,sharpe,sortino,max_dd,calmar,final_wealth,log_final_wealth,final_wealth_raw,worst_day,best_day,worst_month,mdd_peak,mdd_trough,mdd_recovery,mdd_recovered,mdd_duration_days,mdd_recovery_days,mdd_duration_tdays,mdd_recovery_tdays,longest_underwater_days,n_dd_20,n_dd_35,n_dd_50,pct_days_below_20,q01,q05,q50,q95,q99,skew,kurt,wiped_out
walkforward,mkt,full,0,full_x0,"Full Kelly, original",1.0,2.2030944087973623,0.339972814961476,2.8717927932916645,23258,0.1529340468080577,0.3601682196596845,0.48475411706465554,0.674373113653366,-0.9433800031678148,0.1621128774136765,356308.4139733034,12.783551966171403,295284.4483973008,-0.46036396731578105,0.2780728334329087,-0.5734442689845726,2000-03-24,2009-03-09,2017-01-06,True,6132.0,2860.0,4223,1973,6132.0,30,15,8,0.5376644595408032,-0.06365248600872893,-0.03345624709140456,0.0012434299501964405,0.03251727386189606,0.05915181840949396,-0.6376400070560803,21.410333590509307,False
fixed_1936,mkt,full,0,full_x0,"Full Kelly, original",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,23258,0.18075911058187616,0.4129054511386079,0.5304907763180517,0.739246421539203,-0.9508172893259179,0.19010919617377317,3035075.782987173,14.925746951846753,2437319.152922367,-0.4559934709595332,0.297218682918595,-0.568641183431147,2000-03-24,2009-03-09,2016-08-05,True,5978.0,2706.0,4117,1867,5978.0,33,15,10,0.5417060796285149,-0.07209758141332062,-0.03842215235207048,0.0017698169872461004,0.037099944624964375,0.06737486522400563,-0.513099006797217,15.347036257866932,False
cost_futures,mkt,full,0,full_x0,"Full Kelly, original",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,26233,0.13256720224564386,0.45724658188488815,0.4345856927142814,0.6117684585093004,-0.9968070625196177,0.1329918368661587,249586.38962861773,12.427560385259161,249586.38962861607,-0.45654397663289187,0.4096839638319601,-0.6109060482319536,1929-09-03,1932-07-08,1954-06-28,True,9064.0,8025.0,7206,6361,9064.0,32,13,8,0.6589029085502992,-0.08057768356402252,-0.041265615646403596,0.0017191822849085994,0.039218096417073016,0.07801403468811173,-0.16235792557708603,16.126627602085282,False
cost_broker,mkt,full,0,full_x0,"Full Kelly, original",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,26233,0.1198254979465104,0.45724658188488815,0.4098423634641788,0.5763983222853698,-0.9969220887808152,0.12019544886707331,80666.2902358782,11.298076049962456,80666.29023587772,-0.4565870343291846,0.40964090613566734,-0.6113249227446186,1929-09-03,1932-07-08,1954-11-12,True,9201.0,8162.0,7302,6457,9201.0,32,13,8,0.6827659817786758,-0.08062074126031527,-0.04130867334269635,0.0016761245886158483,0.039175038720780264,0.07797097699181899,-0.16235792557708578,16.126627602085282,False
cost_letf,mkt,full,0,full_x0,"Full Kelly, original",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,26233,0.11274501680418557,0.4572667119270489,0.3959713690312488,0.5566103862068794,-0.9969559773861403,0.1130892630783809,42824.302100133435,10.664861026506903,42824.30210013379,-0.45669541812347597,0.40961122171483505,-0.6113513929972887,1929-09-03,1932-07-08,1954-11-23,True,9212.0,8173.0,7309,6464,9212.0,30,12,8,0.6983570312202189,-0.08063308263310702,-0.041347785140274394,0.0016438279684123237,0.03916129052360129,0.07795931683513577,-0.16200645003270686,16.126255533027884,False
cash_day,mkt,full,0,full_x0,"Full Kelly, original",1.0,2.6163616454101675,2.6163616454101675,2.6163616454101675,26233,0.14903182447736774,0.4571129145667999,0.46614813037710473,0.6570431657481695,-0.9966754611485887,0.14952893924529906,1054300.8838567971,13.868388435899895,1054300.8838568085,-0.4559934709595332,0.4099838698357733,-0.6104393148826501,1929-09-03,1932-07-08,1954-02-04,True,8920.0,7881.0,7107,6262,8920.0,32,14,9,0.6196393855068044,-0.08061012769786792,-0.041238513997480644,0.0017698169872461004,0.03924542468115251,0.07803557703322302,-0.16136801291767994,16.134456146026313,False
walkforward,mkt,half,0,half_x0,"Half Kelly, original",0.5,1.1015472043986811,0.169986407480738,1.4358963966458322,23258,0.11027089002788013,0.18007612676946497,0.48475411706465554,0.674373113653366,-0.6239383082620977,0.1767336426817996,12045.704069501817,9.396463366599408,10492.12165274265,-0.23003198365789054,0.13903641671645434,-0.29808642656694195,2007-10-09,2009-03-09,2013-01-17,True,1927.0,1410.0,1328,973,2856.0,18,6,3,0.20638060022357899,-0.031723919322613016,-0.01662692729850511,0.0006676433595595659,0.016315471959846516,0.02964748652398687,-0.6359190557171288,21.40348877790416,False
fixed_1936,mkt,half,0,half_x0,"Half Kelly, original",0.5,1.3081808227050837,1.3081808227050837,1.3081808227050837,23258,0.1294259140817012,0.20644058522641698,0.5304907763180517,0.739246421539203,-0.660455963366742,0.19596448705215613,55995.425141792184,10.933025272483595,47684.49977049311,-0.2278467354797666,0.1486093414592975,-0.3025618689228632,2007-10-09,2009-03-09,2012-09-13,True,1801.0,1284.0,1243,888,2580.0,19,9,4,0.26519907128729897,-0.036031224399766124,-0.01913025809376473,0.0009157265758935587,0.018645349600141678,0.033767561675038534,-0.5146973653702134,15.346971368524962,False
cost_futures,mkt,half,0,half_x0,"Half Kelly, original",0.5,1.3081808227050837,1.3081808227050837,1.3081808227050837,26233,0.11513667876839158,0.22857059663498672,0.45411296169318444,0.6397659624057028,-0.9182132209705934,0.1253920942748862,53061.10418189286,10.87919943753726,53061.10418189311,-0.22795169670041995,0.20493475385370352,-0.36508412310925675,1929-09-03,1932-07-08,1945-10-15,True,5886.0,4847.0,4808,3963,5886.0,19,9,4,0.3564594213395342,-0.04026487794376304,-0.02055090106592777,0.0009105816994830284,0.019702791905832694,0.0390476811823041,-0.1644021828660315,16.12724002313259,False
cost_broker,mkt,half,0,half_x0,"Half Kelly, original",0.5,1.3081808227050837,1.3081808227050837,1.3081808227050837,26233,0.11273437060735012,0.22857059663498672,0.44467589544647745,0.6262476596732035,-0.9187805063956179,0.12270000269118443,42783.418795749785,10.663905895192487,42783.41879574976,-0.22795990622228343,0.20492654433184004,-0.3652116633477409,1929-09-03,1932-07-08,1945-11-07,True,5909.0,4870.0,4826,3981,5909.0,20,9,4,0.3623298898334159,-0.040273087465626516,-0.02055911058779125,0.0009023721776195482,0.019694582383969213,0.039039471660440625,-0.16440218286603134,16.127240023132586,False
