series,kind,rank,date,total_ret
mkt,best,1,1933-03-15,0.1567
mkt,best,2,2008-10-13,0.11359999999999999
mkt,best,3,1929-10-30,0.1122
mkt,best,4,1931-10-06,0.1115
mkt,best,5,1932-09-21,0.1094
mkt,best,6,2008-10-28,0.0978
mkt,best,7,2025-04-09,0.09670000000000001
mkt,best,8,2020-03-24,0.0935
mkt,best,9,2020-03-13,0.08990000000000001
mkt,best,10,1939-09-05,0.08789999999999999
mkt,best,11,1937-10-20,0.0867
mkt,best,12,1987-10-21,0.086
mkt,best,13,1932-02-13,0.0824
mkt,best,14,1933-04-20,0.0818
mkt,best,15,1931-12-18,0.0793
mkt,best,16,1931-10-08,0.0791
mkt,best,17,1933-07-24,0.0788
mkt,best,18,1932-08-03,0.0787
mkt,best,19,1929-11-14,0.07680000000000001
mkt,best,20,1932-02-11,0.0737
mkt,worst,1,1987-10-19,-0.1741
mkt,worst,2,2020-03-16,-0.12
mkt,worst,3,1929-10-29,-0.1153
mkt,worst,4,1929-10-28,-0.1123
mkt,worst,5,1929-11-06,-0.0964
mkt,worst,6,2020-03-12,-0.09620000000000001
mkt,worst,7,1933-07-21,-0.0915
mkt,worst,8,2008-12-01,-0.08960000000000001
mkt,worst,9,2008-10-15,-0.08789999999999999
mkt,worst,10,1933-07-20,-0.0849
mkt,worst,11,1987-10-26,-0.08280000000000001
mkt,worst,12,2008-09-29,-0.08249999999999999
mkt,worst,13,1937-10-18,-0.0819
mkt,worst,14,2020-03-09,-0.0778
mkt,worst,15,2008-10-09,-0.0736
mkt,worst,16,1932-10-05,-0.073
mkt,worst,17,1940-05-14,-0.0721
mkt,worst,18,1934-07-26,-0.0713
mkt,worst,19,1940-05-21,-0.0699
mkt,worst,20,1962-05-28,-0.0697
scv,best,1,1933-03-15,0.267
scv,best,2,1939-09-05,0.23190000000000002
scv,best,3,1937-10-20,0.1956
scv,best,4,1932-09-21,0.1459
scv,best,5,1933-06-19,0.1404
scv,best,6,1933-07-24,0.1358
scv,best,7,1933-04-19,0.1066
scv,best,8,2020-03-24,0.096
scv,best,9,1937-10-21,0.0947
scv,best,10,1934-01-15,0.08990000000000001
scv,best,11,2009-03-23,0.0892
scv,best,12,1932-12-30,0.0876
scv,best,13,1931-09-23,0.0873
scv,best,14,1932-08-10,0.0868
scv,best,15,2020-03-13,0.0867
scv,best,16,2008-09-18,0.08539999999999999
scv,best,17,1940-11-07,0.08410000000000001
scv,best,18,2009-03-10,0.08380000000000001
scv,best,19,1933-10-23,0.083
scv,best,20,2020-05-18,0.0825
scv,worst,1,1933-07-21,-0.1602
scv,worst,2,2020-03-16,-0.1244
scv,worst,3,1940-05-21,-0.1243
scv,worst,4,2020-03-18,-0.1241
scv,worst,5,2008-12-01,-0.1191
scv,worst,6,2020-03-09,-0.1186
scv,worst,7,1987-10-19,-0.11349999999999999
scv,worst,8,1934-07-26,-0.11320000000000001
scv,worst,9,1940-05-14,-0.1119
scv,worst,10,1939-03-31,-0.10550000000000001
scv,worst,11,1929-10-29,-0.1047
scv,worst,12,2020-03-12,-0.1043
scv,worst,13,1940-05-13,-0.1023
scv,worst,14,1933-09-21,-0.10060000000000001
scv,worst,15,1933-07-20,-0.095
scv,worst,16,1946-09-03,-0.0943
scv,worst,17,2008-10-09,-0.09369999999999999
scv,worst,18,1932-09-12,-0.09230000000000001
scv,worst,19,2020-06-11,-0.0906
scv,worst,20,1941-12-09,-0.09050000000000001
