date,value
1926-07-01,10000
1926-07-02,10030.48
1926-07-06,10055.69
1926-07-07,10071.44
1926-07-08,10095.57
1926-07-09,10070.94
1926-07-12,10131.89
1926-07-13,10159.16
1926-07-14,10128.13
1926-07-15,10111.86
1926-07-16,10151.78
1926-07-19,10174.24
1926-07-20,10118.04
1926-07-21,10088.06
1926-07-22,10009.35
1926-07-23,10004.66
1926-07-26,10050.55
1926-07-27,10077.55
1926-07-28,10154.35
1926-07-29,10147.73
1926-07-30,10152.19
1926-08-02,10280.1
1926-08-03,10311.72
1926-08-04,10345.61
1926-08-05,10404.35
1926-08-06,10482.41
1926-08-09,10561.32
1926-08-10,10419.83
1926-08-11,10380.4
1926-08-12,10438.25
1926-08-13,10469.64
1926-08-16,10573.08
1926-08-17,10480.17
1926-08-18,10492.08
1926-08-19,10406.29
1926-08-20,10377.43
1926-08-23,10467.46
1926-08-24,10391.16
1926-08-25,10320.46
1926-08-26,10387.71
1926-08-27,10426.74
1926-08-30,10497.68
1926-08-31,10546.25
1926-09-01,10633.77
1926-09-02,10622.76
1926-09-03,10664.9
1926-09-07,10719.28
1926-09-08,10658.89
1926-09-09,10674.85
1926-09-10,10625.18
1926-09-13,10586.13
1926-09-14,10637.81
1926-09-15,10625.94
1926-09-16,10576.83
1926-09-17,10458.99
1926-09-20,10440.67
1926-09-21,10490.22
1926-09-22,10481.37
1926-09-23,10481.2
1926-09-24,10537.48
1926-09-27,10552.43
1926-09-28,10523.16
1926-09-29,10515.09
1926-09-30,10538.07
1926-10-01,10624.24
1926-10-04,10422.85
1926-10-05,10300.4
1926-10-06,10224.24
1926-10-07,10159.49
1926-10-08,10252.08
1926-10-11,10069.97
1926-10-13,10159.81
1926-10-14,10293.98
1926-10-15,10082.73
1926-10-18,10092.32
1926-10-19,9976.19
1926-10-20,9878.71
1926-10-21,10046.49
1926-10-22,10053.42
1926-10-25,10092.88
1926-10-26,10162.38
1926-10-27,10231.33
1926-10-28,10228.08
1926-10-29,10220.21
1926-11-01,10223.82
1926-11-03,10248.3
1926-11-04,10369.75
1926-11-05,10384.98
1926-11-08,10472.31
1926-11-09,10472.37
1926-11-10,10434.85
1926-11-11,10511.09
1926-11-12,10533.51
1926-11-15,10521.67
1926-11-16,10513.26
1926-11-17,10477.92
1926-11-18,10459.72
1926-11-19,10450.14
1926-11-22,10550.77
1926-11-23,10592.4
1926-11-24,10608.85
1926-11-26,10665.7
1926-11-29,10631.44
1926-11-30,10604.99
1926-12-01,10650.47
1926-12-02,10714.03
1926-12-03,10732.7
1926-12-06,10687.33
1926-12-07,10679.11
1926-12-08,10689.85
1926-12-09,10752.98
1926-12-10,10825.24
1926-12-13,10842.57
1926-12-14,10897.16
1926-12-15,10888.98
1926-12-16,10795.61
1926-12-17,10896.92
1926-12-20,10901.19
1926-12-21,10877.18
1926-12-22,10857.77
1926-12-23,10866.91
1926-12-24,10908.69
1926-12-27,10862.41
1926-12-28,10728.09
1926-12-29,10755.97
1926-12-30,10739.03
1926-12-31,10792.19
1927-01-03,10704.71
1927-01-04,10719.23
1927-01-05,10759.86
1927-01-06,10737.23
1927-01-07,10752.64
1927-01-10,10821.99
1927-01-11,10810.97
1927-01-12,10810.62
1927-01-13,10807.67
1927-01-14,10797.47
1927-01-17,10894.69
1927-01-18,10895.96
1927-01-19,10922.12
1927-01-20,10929.04
1927-01-21,10993.36
1927-01-24,11005.42
1927-01-25,10791.59
1927-01-26,10829.38
1927-01-27,10786.83
1927-01-28,10822.48
1927-01-31,10978.07
1927-02-01,11011.46
1927-02-02,11066.97
1927-02-03,11116.54
1927-02-04,11241.94
1927-02-07,11236.46
1927-02-08,11338.87
1927-02-09,11339.07
1927-02-10,11344.58
1927-02-11,11317.23
1927-02-14,11365.35
1927-02-15,11362.18
1927-02-16,11440.22
1927-02-17,11563.44
1927-02-18,11518.2
1927-02-21,11488.7
1927-02-23,11569.56
1927-02-24,11632.46
1927-02-25,11651.98
1927-02-28,11779.73
1927-03-01,11721.8
1927-03-02,11531.42
1927-03-03,11671.84
1927-03-04,11627.79
1927-03-07,11495.43
1927-03-08,11499.7
1927-03-09,11583.49
1927-03-10,11633.67
1927-03-11,11653.7
1927-03-14,11657.82
1927-03-15,11545.28
1927-03-16,11617.03
1927-03-17,11633.41
1927-03-18,11526.25
1927-03-21,11465.66
1927-03-22,11291.31
1927-03-23,11337.15
1927-03-24,11423.58
1927-03-25,11422.2
1927-03-28,11522.91
1927-03-29,11529.5
1927-03-30,11520.9
1927-03-31,11586.12
1927-04-01,11573.03
1927-04-04,11715.15
1927-04-05,11819.36
1927-04-06,11809.68
1927-04-07,11813.04
1927-04-08,11837.04
1927-04-11,11819.51
1927-04-12,11769.94
1927-04-13,11805.93
1927-04-14,11846.99
1927-04-18,11980.55
1927-04-19,12027.86
1927-04-20,12087.45
1927-04-21,12117.88
1927-04-22,12090.6
1927-04-25,11855.67
1927-04-26,11881.66
1927-04-27,11841
1927-04-28,11682.13
1927-04-29,11728.77
1927-05-02,11810.19
1927-05-03,11883.19
1927-05-04,11976.84
1927-05-05,11982.1
1927-05-06,12018.22
1927-05-09,12085.6
1927-05-10,12146.66
1927-05-11,12096.95
1927-05-12,12084.81
1927-05-13,12143.85
1927-05-16,12085.31
1927-05-17,12186.55
1927-05-18,12253.89
1927-05-19,12247.75
1927-05-20,12305.53
1927-05-23,12367.59
1927-05-24,12371.36
1927-05-25,12387.32
1927-05-26,12392.22
1927-05-27,12460.11
1927-05-31,12624.24
1927-06-01,12727.87
1927-06-02,12804.01
1927-06-03,12657.68
1927-06-06,12852.59
1927-06-07,12833.03
1927-06-08,12897
1927-06-09,12914.24
1927-06-10,12838.43
1927-06-14,12539.47
1927-06-15,12708.49
1927-06-16,12809.02
1927-06-17,12896.79
1927-06-20,12899.47
1927-06-21,12893.52
1927-06-22,12887.13
1927-06-23,12700.63
1927-06-24,12760.87
1927-06-27,12526.38
1927-06-28,12592.91
1927-06-29,12567.76
1927-06-30,12516.65
1927-07-01,12581.16
1927-07-05,12720.2
1927-07-06,12842.61
1927-07-07,12814.3
1927-07-08,12791.62
1927-07-11,12874.44
1927-07-12,12900.56
1927-07-13,12917.03
1927-07-14,12965.98
1927-07-15,12991.8
1927-07-18,13056.27
1927-07-19,13115.96
1927-07-20,13128.04
1927-07-21,13108.45
1927-07-22,13092.43
1927-07-25,13134.35
1927-07-26,13139.85
1927-07-27,13133.28
1927-07-28,13123.04
1927-07-29,13151.1
1927-08-01,13299.36
1927-08-02,13306.7
1927-08-03,13249.54
1927-08-04,13384.49
1927-08-05,13253.65
1927-08-08,13122.28
1927-08-09,13221.59
1927-08-10,13196.65
1927-08-11,13048.19
1927-08-12,12724.69
1927-08-15,13076.84
1927-08-16,13184.9
1927-08-17,13265.06
1927-08-18,13245.7
1927-08-19,13245.2
1927-08-22,13285.78
1927-08-23,13280.46
1927-08-24,13284.3
1927-08-25,13214.35
1927-08-26,13193.14
1927-08-29,13156.89
1927-08-30,13104.27
1927-08-31,13042.97
1927-09-01,13206.57
1927-09-02,13348.71
1927-09-06,13462.93
1927-09-07,13554.96
1927-09-08,13595.21
1927-09-09,13421.81
1927-09-12,13429.2
1927-09-13,13564.43
1927-09-14,13578.07
1927-09-15,13575.64
1927-09-16,13622.8
1927-09-19,13595.64
1927-09-20,13708.99
1927-09-21,13649.65
1927-09-22,13467.67
1927-09-23,13551.69
1927-09-26,13482.55
1927-09-27,13473.97
1927-09-28,13450.22
1927-09-29,13476.64
1927-09-30,13636.74
1927-10-03,13759.18
1927-10-04,13649.86
1927-10-05,13605.45
1927-10-06,13652.61
1927-10-07,13518.32
1927-10-10,13322.06
1927-10-11,13396.4
1927-10-13,13510.7
1927-10-14,13543.74
1927-10-17,13377.78
1927-10-18,13438.61
1927-10-19,13412.73
1927-10-20,13247.44
1927-10-21,13155.83
1927-10-24,13107.96
1927-10-25,13262.87
1927-10-26,13288.68
1927-10-27,13244.2
1927-10-28,13004.78
1927-10-31,13024.3
1927-11-01,13019.81
1927-11-02,13094.76
1927-11-03,13222.12
1927-11-04,13241.59
1927-11-07,13393.8
1927-11-09,13312.93
1927-11-10,13332.74
1927-11-11,13388.22
1927-11-14,13577.47
1927-11-15,13627.7
1927-11-16,13664.88
1927-11-17,13706.28
1927-11-18,13780.52
1927-11-21,13783.03
1927-11-22,13820.44
1927-11-23,13878.09
1927-11-25,13965.78
1927-11-28,13895.11
1927-11-29,14015.8
1927-11-30,14032.56
1927-12-01,13982.68
1927-12-02,14042.47
1927-12-05,14073.61
1927-12-06,14051.02
1927-12-07,13927.52
1927-12-08,13857.68
1927-12-09,14013.9
1927-12-12,14171.53
1927-12-13,14217.72
1927-12-14,14134.63
1927-12-15,14244.61
1927-12-16,14335.14
1927-12-19,14429.95
1927-12-20,14462.11
1927-12-21,14454.15
1927-12-22,14406.8
1927-12-23,14425.73
1927-12-27,14416.48
1927-12-28,14312.33
1927-12-29,14296.85
1927-12-30,14470.15
1928-01-03,14720.03
1928-01-04,14648.25
1928-01-05,14555.82
1928-01-06,14667.84
1928-01-09,14529.59
1928-01-10,14366.6
1928-01-11,14465.78
1928-01-12,14571.12
1928-01-13,14682.66
1928-01-16,14394.52
1928-01-17,14470.13
1928-01-18,14381.68
1928-01-19,14469.72
1928-01-20,14627.75
1928-01-23,14733.37
1928-01-24,14781
1928-01-25,14583.2
1928-01-26,14693.7
1928-01-27,14805.22
1928-01-30,14641.49
1928-01-31,14737.04
1928-02-01,14656.96
1928-02-02,14749.59
1928-02-03,14527.8
1928-02-06,14669.18
1928-02-07,14532.91
1928-02-08,14463.64
1928-02-09,14496.2
1928-02-10,14479.76
1928-02-14,14439.21
1928-02-15,14411.25
1928-02-16,14318.59
1928-02-17,13976.18
1928-02-20,13831.39
1928-02-21,14006.39
1928-02-23,13997.97
1928-02-24,14072.72
1928-02-27,14011.45
1928-02-28,14062.15
1928-02-29,14167.56
1928-03-01,14173.4
1928-03-02,14112.08
1928-03-05,14226.43
1928-03-06,14269.69
1928-03-07,14207.71
1928-03-08,14336.24
1928-03-09,14467.18
1928-03-12,14437.71
1928-03-13,14379.76
1928-03-14,14426.37
1928-03-15,14542.39
1928-03-16,14660.71
1928-03-19,14706.84
1928-03-20,14767.39
1928-03-21,14906.39
1928-03-22,14769.75
1928-03-23,14813.82
1928-03-26,14874.12
1928-03-27,14842.43
1928-03-28,14947.97
1928-03-29,14986.5
1928-03-30,15191.76
1928-04-02,15040.44
1928-04-03,15100.11
1928-04-04,15094.81
1928-04-05,15292.66
1928-04-09,15394.11
1928-04-10,15254.52
1928-04-11,15548.98
1928-04-12,15418.29
1928-04-13,15573.86
1928-04-16,15550.2
1928-04-17,15451.82
1928-04-18,15473.6
1928-04-19,15640.95
1928-04-20,15427.87
1928-04-23,15319.74
1928-04-24,15344.73
1928-04-25,15524.76
1928-04-26,15666.68
1928-04-27,15853.84
1928-04-30,15898.95
1928-05-01,15939.38
1928-05-02,15945.85
1928-05-03,15932.7
1928-05-04,16011.84
1928-05-07,16077.06
1928-05-08,16009.1
1928-05-09,16060.53
1928-05-10,16004.11
1928-05-11,16142.87
1928-05-14,16284.94
1928-05-15,16262.29
1928-05-16,15933.81
1928-05-17,15973.2
1928-05-18,15931.34
1928-05-21,15778.88
1928-05-22,15553.44
1928-05-23,15832.98
1928-05-24,15941.35
1928-05-25,15952.65
1928-05-28,15734.1
1928-05-29,15798.94
1928-05-31,15967.19
1928-06-01,15983.82
1928-06-04,15813.66
1928-06-05,15859.29
1928-06-06,15744.29
1928-06-07,15620.99
1928-06-08,15299.68
1928-06-11,14650.75
1928-06-12,14074.9
1928-06-13,14572.7
1928-06-14,14884.48
1928-06-15,14665.98
1928-06-18,14350.05
1928-06-19,14196.41
1928-06-20,14357.17
1928-06-21,14429.13
1928-06-22,14509.14
1928-06-25,14383.34
1928-06-26,14537.12
1928-06-27,14761.87
1928-06-28,14858.62
1928-06-29,14943.49
1928-07-02,14710.18
1928-07-03,14985.67
1928-07-05,15127.33
1928-07-06,15074.59
1928-07-09,15156.03
1928-07-10,15060.32
1928-07-11,14662.43
1928-07-12,14602.45
1928-07-13,14693.83
1928-07-16,14581.19
1928-07-17,14581.19
1928-07-18,14667.69
1928-07-19,14697.17
1928-07-20,14707.32
1928-07-23,14835.58
1928-07-24,14883.57
1928-07-25,14915.16
1928-07-26,14953.39
1928-07-27,15012.26
1928-07-30,15022.17
1928-07-31,15016.58
1928-08-01,15107.97
1928-08-02,15052.33
1928-08-03,15123.64
1928-08-06,15242.85
1928-08-07,15210.46
1928-08-08,15072.09
1928-08-09,15079.23
1928-08-10,15036.66
1928-08-13,15094.15
1928-08-14,15004.41
1928-08-15,15205.65
1928-08-16,15362.65
1928-08-17,15365.72
1928-08-20,15498.07
1928-08-21,15603.7
1928-08-22,15563.74
1928-08-23,15561.15
1928-08-24,15725.58
1928-08-27,15724.65
1928-08-28,15832.9
1928-08-29,15866.37
1928-08-30,15867.12
1928-08-31,15999.56
1928-09-04,16147.12
1928-09-05,16218.65
1928-09-06,16281.7
1928-09-07,16462.12
1928-09-10,16369.75
1928-09-11,16456.36
1928-09-12,16512.66
1928-09-13,16490.34
1928-09-14,16566.43
1928-09-17,16853.71
1928-09-18,16778.81
1928-09-19,16791.29
1928-09-20,16791.17
1928-09-21,16856.75
1928-09-24,16911.18
1928-09-25,16914.16
1928-09-26,16841.68
1928-09-27,16566.01
1928-09-28,16564.95
1928-10-01,16658.47
1928-10-02,16569.56
1928-10-03,16565.29
1928-10-04,16609.54
1928-10-05,16567.34
1928-10-08,16508.84
1928-10-09,16493.34
1928-10-10,16666.11
1928-10-11,16693.68
1928-10-15,17002.94
1928-10-16,17070.53
1928-10-17,17103.08
1928-10-18,17088.65
1928-10-19,17141.48
1928-10-22,17059.16
1928-10-23,17167.55
1928-10-24,17270.56
1928-10-25,17207.2
1928-10-26,16965.13
1928-10-29,17200.67
1928-10-30,16989.36
1928-10-31,16837.45
1928-11-01,17047.79
1928-11-02,17037.09
1928-11-05,17176.86
1928-11-07,17428.13
1928-11-08,17411.9
1928-11-09,17589.21
1928-11-12,17934.82
1928-11-13,17976.92
1928-11-14,17978.45
1928-11-15,17978.92
1928-11-16,18253.27
1928-11-19,18326.76
1928-11-20,18527.66
1928-11-21,18258.89
1928-11-22,18619.63
1928-11-23,18662.42
1928-11-26,18776.8
1928-11-27,18837.51
1928-11-28,19026.5
1928-11-30,18942.28
1928-12-03,18773.91
1928-12-04,18839.48
1928-12-05,18729.42
1928-12-06,17914.96
1928-12-07,17527.16
1928-12-10,17365
1928-12-11,17869.67
1928-12-12,17729.66
1928-12-13,17662.15
1928-12-14,17712.71
1928-12-17,17552.63
1928-12-18,17705.11
1928-12-19,17983.65
1928-12-20,18081.35
1928-12-21,18182.61
1928-12-24,18366.13
1928-12-26,18325.02
1928-12-27,18464.82
1928-12-28,18692.17
1928-12-31,19044.2
1929-01-02,19395.64
1929-01-03,19392.67
1929-01-04,19351.82
1929-01-07,18861.84
1929-01-08,18877
1929-01-09,19115.94
1929-01-10,19205.59
1929-01-11,19205.66
1929-01-14,19319.11
1929-01-15,19021.36
1929-01-16,19225.59
1929-01-17,19289.68
