date,value
1969-12-31,10000
1970-01-02,10164.48
1970-01-05,10258.95
1970-01-06,10085.45
1970-01-07,10149.17
1970-01-08,10193.02
1970-01-09,10108.16
1970-01-12,9981.3
1970-01-13,9998.01
1970-01-14,10020.66
1970-01-15,10043.85
1970-01-16,10005.23
1970-01-19,9856.92
1970-01-20,9909.53
1970-01-21,9858.66
1970-01-22,9968.95
1970-01-23,9852.55
1970-01-26,9668.09
1970-01-27,9587.6
1970-01-28,9442.22
1970-01-29,9263.35
1970-01-30,9182.49
1970-02-02,9214.55
1970-02-03,9257.61
1970-02-04,9269.11
1970-02-05,9206.15
1970-02-06,9263.42
1970-02-09,9405.42
1970-02-10,9301.09
1970-02-11,9363.02
1970-02-12,9266.81
1970-02-13,9316.25
1970-02-16,9294.74
1970-02-17,9197.93
1970-02-18,9354.86
1970-02-19,9413.88
1970-02-20,9341.33
1970-02-24,9344.61
1970-02-25,9459.23
1970-02-26,9494.86
1970-02-27,9545.03
1970-03-02,9527.91
1970-03-03,9553.61
1970-03-04,9603.17
1970-03-05,9563.1
1970-03-06,9525.11
1970-03-09,9347.24
1970-03-10,9325.61
1970-03-11,9333.72
1970-03-12,9258.16
1970-03-13,9213.71
1970-03-16,9064.2
1970-03-17,9038.13
1970-03-18,9124.23
1970-03-19,9086.83
1970-03-20,9025.54
1970-03-23,9040.47
1970-03-24,9202.8
1970-03-25,9505.53
1970-03-26,9580.89
1970-03-30,9564.07
1970-03-31,9542.67
1970-04-01,9618.86
1970-04-02,9626.73
1970-04-03,9638.6
1970-04-06,9506.58
1970-04-07,9454.12
1970-04-08,9470.11
1970-04-09,9491.35
1970-04-10,9407.91
1970-04-13,9299.46
1970-04-14,9152.2
1970-04-15,9099.82
1970-04-16,8958.24
1970-04-17,8941.24
1970-04-20,8949.19
1970-04-21,8842.11
1970-04-22,8675.47
1970-04-23,8519.4
1970-04-24,8469.45
1970-04-27,8218.76
1970-04-28,8018.5
1970-04-29,8246.67
1970-04-30,8184
1970-05-01,8198.37
1970-05-04,8035.96
1970-05-05,7946.44
1970-05-06,8020.83
1970-05-07,8037.31
1970-05-08,7957.41
1970-05-11,7840.01
1970-05-12,7787
1970-05-13,7698.81
1970-05-14,7500.82
1970-05-15,7703.75
1970-05-18,7668.52
1970-05-19,7556.24
1970-05-20,7261.06
1970-05-21,7109.25
1970-05-22,7147.58
1970-05-25,6922.63
1970-05-26,6835.02
1970-05-27,7102.73
1970-05-28,7269.59
1970-05-29,7379.09
1970-06-01,7532.61
1970-06-02,7568.73
1970-06-03,7685.02
1970-06-04,7533.58
1970-06-05,7507.8
1970-06-08,7454.25
1970-06-09,7447.9
1970-06-10,7324.24
1970-06-11,7185.44
1970-06-12,7130.31
1970-06-15,7168.5
1970-06-16,7351.45
1970-06-17,7321.89
1970-06-18,7391.96
1970-06-19,7457.3
1970-06-22,7361.42
1970-06-23,7145.77
1970-06-24,7144.18
1970-06-25,7165.24
1970-06-26,7131.58
1970-06-29,7106.2
1970-06-30,7087.46
1970-07-01,7156.72
1970-07-02,7164.07
1970-07-06,6997.7
1970-07-07,6906.37
1970-07-08,7143.96
1970-07-09,7273.21
1970-07-10,7313.69
1970-07-13,7338.25
1970-07-14,7328.43
1970-07-15,7461.58
1970-07-16,7585.76
1970-07-17,7784.59
1970-07-20,7776.42
1970-07-21,7731.3
1970-07-22,7660.76
1970-07-23,7799.7
1970-07-24,7766.98
1970-07-27,7730.21
1970-07-28,7738.1
1970-07-29,7772.63
1970-07-30,7780.29
1970-07-31,7718.43
1970-08-03,7532.78
1970-08-04,7524.03
1970-08-05,7516.16
1970-08-06,7546.77
1970-08-07,7546.93
1970-08-10,7429.07
1970-08-11,7383.89
1970-08-12,7272.64
1970-08-13,7242.51
1970-08-14,7330.2
1970-08-17,7338.17
1970-08-18,7424.67
1970-08-19,7546.91
1970-08-20,7695.67
1970-08-21,7785.48
1970-08-24,8027.82
1970-08-25,8051.78
1970-08-26,8068.5
1970-08-27,8025.17
1970-08-28,8113.31
1970-08-31,8103.77
1970-09-01,7928.13
1970-09-02,7901.12
1970-09-03,8061.27
1970-09-04,8171.09
1970-09-08,8156.05
1970-09-09,8177.64
1970-09-10,8134.76
1970-09-11,8124.69
1970-09-14,8072.4
1970-09-15,8016.57
1970-09-16,8081.22
1970-09-17,8137.78
1970-09-18,8229.74
1970-09-21,8137.53
1970-09-22,8133.89
1970-09-23,8188.37
1970-09-24,8126.15
1970-09-25,8308
1970-09-28,8421.93
1970-09-29,8391.03
1970-09-30,8497.98
1970-10-01,8480.2
1970-10-02,8584.26
1970-10-05,8837.75
1970-10-06,8910.16
1970-10-07,8938.54
1970-10-08,8730.68
1970-10-09,8619.77
1970-10-12,8467.34
1970-10-13,8406.71
1970-10-14,8420.7
1970-10-15,8457.01
1970-10-16,8369.52
1970-10-19,8280.97
1970-10-20,8304.61
1970-10-21,8312.32
1970-10-22,8254.65
1970-10-23,8330.5
1970-10-26,8229.16
1970-10-27,8239.01
1970-10-28,8250.56
1970-10-29,8255.98
1970-10-30,8257.92
1970-11-02,8227.68
1970-11-03,8264.67
1970-11-04,8298.43
1970-11-05,8278.94
1970-11-06,8290.91
1970-11-09,8350.23
1970-11-10,8291.39
1970-11-11,8286.48
1970-11-12,8202.08
1970-11-13,8017.07
1970-11-16,7994.58
1970-11-17,8030.1
1970-11-18,7922.64
1970-11-19,7978.72
1970-11-20,8144.45
1970-11-23,8119.58
1970-11-24,8138.38
1970-11-25,8180.85
1970-11-27,8284.38
1970-11-30,8435.23
1970-12-01,8529.09
1970-12-02,8659.02
1970-12-03,8703.19
1970-12-04,8769.08
1970-12-07,8838.2
1970-12-08,8786.66
1970-12-09,8722.2
1970-12-10,8762.1
1970-12-11,8800.42
1970-12-14,8653.57
1970-12-15,8565.13
1970-12-16,8489.19
1970-12-17,8542.47
1970-12-18,8606.83
1970-12-21,8647.35
1970-12-22,8676.42
1970-12-23,8714.03
1970-12-24,8809.92
1970-12-28,8924.15
1970-12-29,9030.2
1970-12-30,9066.07
1970-12-31,9047.1
1971-01-04,8860.95
1971-01-05,9004.83
1971-01-06,9083.35
1971-01-07,9093.64
1971-01-08,9096
1971-01-11,9061.46
1971-01-12,9132.76
1971-01-13,9049.15
1971-01-14,9060.23
1971-01-15,9066.36
1971-01-18,9206.62
1971-01-19,9281.53
1971-01-20,9183.29
1971-01-21,9204.57
1971-01-22,9330.14
1971-01-25,9446.77
1971-01-26,9458.54
1971-01-27,9451.13
1971-01-28,9513.3
1971-01-29,9633.72
1971-02-01,9722.97
1971-02-02,9666.26
1971-02-03,9643.49
1971-02-04,9649.87
1971-02-05,9769.76
1971-02-08,9906.85
1971-02-09,9824
1971-02-10,9821.64
1971-02-11,9931.55
1971-02-12,9946.83
1971-02-16,9995.35
1971-02-17,9872.8
1971-02-18,9821.78
1971-02-19,9782.33
1971-02-22,9653.66
1971-02-23,9658.55
1971-02-24,9812.46
1971-02-25,9901.68
1971-02-26,9787.73
1971-03-01,9825.62
1971-03-02,9856.52
1971-03-03,9851.35
1971-03-04,10037.5
1971-03-05,10213.04
1971-03-08,10303.78
1971-03-09,10418.88
1971-03-10,10428.41
1971-03-11,10492.84
1971-03-12,10605.09
1971-03-15,10841
1971-03-16,10894.9
1971-03-17,10789.37
1971-03-18,10675.82
1971-03-19,10606.72
1971-03-22,10543.57
1971-03-23,10566.76
1971-03-24,10401.21
1971-03-25,10404.44
1971-03-26,10452.58
1971-03-29,10478.69
1971-03-30,10512.65
1971-03-31,10418.06
1971-04-01,10503.45
1971-04-02,10493.42
1971-04-05,10535.83
1971-04-06,10656.24
1971-04-07,10737.12
1971-04-08,10701.08
1971-04-12,10892.94
1971-04-13,10932.52
1971-04-14,10925.11
1971-04-15,11029.72
1971-04-16,11038.33
1971-04-19,11133.09
1971-04-20,11062.74
1971-04-21,11003.19
1971-04-22,11030.6
1971-04-23,11088.81
1971-04-26,10996.05
1971-04-27,11034.82
1971-04-28,10987.03
1971-04-29,11010.34
1971-04-30,10893.38
1971-05-03,10821.16
1971-05-04,10942.5
1971-05-05,10891.01
1971-05-06,10847.64
1971-05-07,10825.67
1971-05-10,10779.06
1971-05-11,10828.48
1971-05-12,10920.73
1971-05-13,10912.06
1971-05-14,10856.8
1971-05-17,10632.09
1971-05-18,10675.42
1971-05-19,10717.48
1971-05-20,10734.89
1971-05-21,10715.16
1971-05-24,10603.4
1971-05-25,10535.22
1971-05-26,10537.46
1971-05-27,10571.52
1971-05-28,10533.2
1971-06-01,10596.42
1971-06-02,10677.6
1971-06-03,10719.53
1971-06-04,10770.92
