date,value
1885-03-20,10000.00
1885-03-23,9841.75
1885-03-24,9627.47
1885-03-25,9792.16
1885-03-26,9954.15
1885-03-27,9965.12
1885-03-30,9708.40
1885-03-31,9780.23
1885-04-01,9803.35
1885-04-02,9842.83
1885-04-06,9808.75
1885-04-07,9558.28
1885-04-08,9629.52
1885-04-09,10109.60
1885-04-10,9901.03
1885-04-13,10223.56
1885-04-14,10313.78
1885-04-15,10684.66
1885-04-16,10491.62
1885-04-17,10355.20
1885-04-20,10357.96
1885-04-21,10310.44
1885-04-22,10371.71
1885-04-23,10403.81
1885-04-24,10310.02
1885-04-27,10333.67
1885-04-28,10382.44
1885-04-29,10414.54
1885-04-30,10480.28
1885-05-01,10344.06
1885-05-04,9786.20
1885-05-05,9691.30
1885-05-06,9896.38
1885-05-07,9694.64
1885-05-08,9960.41
1885-05-11,9881.11
1885-05-12,9793.98
1885-05-13,9796.70
1885-05-14,9799.42
1885-05-15,9940.41
1885-05-18,10086.47
1885-05-19,10093.34
1885-05-20,9992.93
1885-05-21,10110.59
1885-05-22,10266.09
1885-05-25,10077.49
1885-05-26,10162.64
1885-05-27,10057.79
1885-05-28,9990.55
1885-05-29,9845.61
1885-06-01,9754.68
1885-06-02,9870.87
1885-06-03,9995.87
1885-06-04,9871.46
1885-06-05,9719.32
1885-06-08,9689.68
1885-06-09,9752.94
1885-06-10,9804.25
1885-06-11,9981.55
1885-06-12,10082.58
1885-06-15,10262.32
1885-06-16,10194.47
1885-06-17,10197.20
1885-06-18,10319.96
1885-06-19,10469.88
1885-06-22,10370.60
1885-06-23,10331.03
1885-06-24,10557.53
1885-06-25,10432.25
1885-06-26,10290.78
1885-06-29,9956.55
1885-06-30,9913.69
1885-07-01,9788.28
1885-07-02,9643.16
1885-07-03,9857.77
1885-07-06,9860.48
1885-07-07,9793.15
1885-07-08,10124.30
1885-07-09,10168.76
1885-07-10,10171.48
1885-07-13,10855.97
1885-07-14,10949.41
1885-07-15,11264.40
1885-07-16,11148.43
1885-07-17,11444.30
1885-07-20,11385.04
1885-07-21,11396.66
1885-07-22,11753.16
1885-07-23,12101.62
1885-07-24,11790.17
1885-07-27,11536.76
1885-07-28,11588.44
1885-07-29,11827.34
1885-07-30,11798.63
1885-07-31,11868.84
1885-08-03,11686.83
1885-08-04,11756.70
1885-08-05,11705.67
1885-08-06,11820.33
1885-08-07,12025.46
1885-08-10,12123.49
1885-08-11,12080.76
1885-08-12,12378.95
1885-08-13,12216.18
1885-08-14,12506.80
1885-08-17,13286.10
1885-08-18,12708.07
1885-08-19,13078.62
1885-08-20,12864.26
1885-08-21,12899.85
1885-08-24,12743.27
1885-08-25,12508.47
1885-08-26,12608.20
1885-08-27,12926.09
1885-08-28,12755.35
1885-08-31,12385.43
1885-09-01,12222.98
1885-09-02,12403.60
1885-09-03,12300.77
1885-09-04,12225.83
1885-09-07,11476.43
1885-09-08,11660.18
1885-09-09,11760.83
1885-09-10,11544.69
1885-09-11,11618.27
1885-09-14,11985.09
1885-09-15,11884.18
1885-09-16,12115.89
1885-09-17,12037.11
1885-09-18,12235.79
1885-09-21,12137.33
1885-09-22,12177.08
1885-09-23,12198.49
1885-09-24,12072.59
1885-09-25,11961.10
1885-09-28,12342.41
1885-09-29,12299.13
1885-09-30,12473.10
1885-10-01,12424.93
1885-10-02,12205.07
1885-10-05,12921.30
1885-10-06,12962.19
1885-10-07,13458.12
1885-10-08,13475.65
1885-10-09,13570.48
1885-10-12,13898.30
1885-10-13,14073.02
1885-10-14,14189.59
1885-10-15,13915.18
1885-10-16,14330.36
1885-10-19,15015.39
1885-10-20,15354.66
1885-10-21,15362.90
1885-10-22,14799.37
1885-10-23,14969.25
1885-10-26,14621.61
1885-10-27,14996.37
1885-10-28,15197.80
1885-10-29,15021.71
1885-10-30,15401.39
1885-11-02,15734.22
1885-11-04,15497.80
1885-11-05,15924.59
1885-11-06,15644.90
1885-11-09,15803.69
1885-11-10,16067.58
1885-11-11,16554.47
1885-11-12,16525.56
1885-11-13,16789.91
1885-11-16,16712.42
1885-11-17,17133.66
1885-11-18,17239.88
1885-11-19,17613.14
1885-11-20,17324.70
1885-11-23,16356.78
1885-11-24,17281.74
1885-11-25,17116.11
1885-11-27,16604.64
1885-11-30,16581.08
1885-12-01,16291.04
1885-12-02,16394.51
1885-12-03,16440.00
1885-12-04,16575.74
1885-12-07,16466.97
1885-12-08,16560.33
1885-12-09,16478.25
1885-12-10,15992.84
1885-12-11,16037.77
1885-12-14,15250.08
1885-12-15,15814.68
1885-12-16,16347.87
1885-12-17,16097.39
1885-12-18,16289.54
1885-12-21,15833.81
1885-12-22,15274.27
1885-12-23,15349.27
1885-12-24,15708.92
1885-12-28,16051.75
1885-12-29,16572.73
1885-12-30,16596.98
1885-12-31,16535.24
1886-01-04,16564.82
1886-01-05,16266.89
1886-01-06,16349.45
1886-01-07,16282.88
1886-01-08,16083.40
1886-01-11,15948.64
1886-01-12,15877.67
1886-01-13,15444.34
1886-01-14,15664.68
1886-01-15,15057.03
1886-01-18,14548.42
