date,value
1962-01-02,10000
1962-01-03,10001.66
1962-01-04,10019.11
1962-01-05,10004.96
1962-01-08,9990.85
1962-01-09,9992.51
1962-01-10,9978.44
1962-01-11,9995.83
1962-01-12,9981.75
1962-01-15,9967.72
1962-01-16,9953.73
1962-01-17,9971.04
1962-01-18,9972.71
1962-01-19,9974.37
1962-01-22,9991.74
1962-01-23,9977.69
1962-01-24,9979.36
1962-01-25,9949.71
1962-01-26,9951.38
1962-01-29,9937.45
1962-01-30,9939.12
1962-01-31,9940.79
1962-02-01,9942.46
1962-02-02,9944.13
1962-02-05,9961.4
1962-02-06,9947.46
1962-02-07,9949.13
1962-02-08,9966.42
1962-02-09,9983.74
1962-02-12,9985.41
1962-02-13,10002.78
1962-02-14,10020.2
1962-02-15,10006.11
1962-02-16,9976.38
1962-02-19,9993.73
1962-02-20,9932.88
1962-02-21,9965.69
1962-02-23,9983
1962-02-26,10000.36
1962-02-27,9986.34
1962-02-28,10019.42
1962-03-01,10036.87
1962-03-02,10038.54
1962-03-05,10024.42
1962-03-06,10026.1
1962-03-07,10043.55
1962-03-08,10061.05
1962-03-09,10078.59
1962-03-12,10096.18
1962-03-13,10129.81
1962-03-14,10131.47
1962-03-15,10101.14
1962-03-16,10118.78
1962-03-19,10136.46
1962-03-20,10170.29
1962-03-21,10188.1
1962-03-22,10254.75
1962-03-23,10223.78
1962-03-26,10192.97
1962-03-27,10210.84
1962-03-28,10212.5
1962-03-29,10230.42
1962-03-30,10248.38
1962-04-02,10266.38
1962-04-03,10300.86
1962-04-04,10368.66
1962-04-05,10320.54
1962-04-06,10355.3
1962-04-09,10356.95
1962-04-10,10358.6
1962-04-11,10327.11
1962-04-12,10345.31
1962-04-13,10363.56
1962-04-16,10365.21
1962-04-17,10366.87
1962-04-18,10401.84
1962-04-19,10386.8
1962-04-23,10355.18
1962-04-24,10340.27
1962-04-25,10341.93
1962-04-26,10343.59
1962-04-27,10395.06
1962-04-30,10396.72
1962-05-01,10398.38
1962-05-02,10400.04
1962-05-03,10418.41
1962-05-04,10420.06
1962-05-07,10421.72
1962-05-08,10423.37
1962-05-09,10441.8
1962-05-10,10460.27
1962-05-11,10461.93
1962-05-14,10446.75
1962-05-15,10431.62
1962-05-16,10416.53
1962-05-17,10418.19
1962-05-18,10369.85
1962-05-21,10338.4
1962-05-22,10356.59
1962-05-23,10358.26
1962-05-24,10376.5
1962-05-25,10394.79
1962-05-28,10413.12
1962-05-29,10381.46
1962-05-31,10383.13
1962-06-01,10401.43
1962-06-04,10403.09
1962-06-05,10388.11
1962-06-06,10406.42
1962-06-07,10408.09
1962-06-08,10426.44
1962-06-11,10428.11
1962-06-12,10446.51
1962-06-13,10431.43
1962-06-14,10399.71
1962-06-15,10401.38
1962-06-18,10386.43
1962-06-19,10354.97
1962-06-20,10356.65
1962-06-21,10374.86
1962-06-22,10376.53
1962-06-25,10312.23
1962-06-26,10297.54
1962-06-27,10315.59
1962-06-28,10300.89
1962-06-29,10286.23
1962-07-02,10287.92
1962-07-03,10289.6
1962-07-05,10291.29
1962-07-06,10244.16
1962-07-09,10213.53
1962-07-10,10231.35
1962-07-11,10233.04
1962-07-12,10250.91
1962-07-13,10252.6
1962-07-16,10238.1
1962-07-17,10239.8
1962-07-18,10241.49
1962-07-19,10243.18
1962-07-20,10261.07
1962-07-23,10262.76
1962-07-24,10264.45
1962-07-25,10266.15
1962-07-26,10284.09
1962-07-27,10269.52
1962-07-30,10255
1962-07-31,10256.69
1962-08-01,10258.39
1962-08-02,10308.84
1962-08-03,10294.22
1962-08-06,10295.91
1962-08-07,10297.61
1962-08-08,10299.3
1962-08-09,10317.31
1962-08-10,10319.01
1962-08-13,10320.7
1962-08-14,10355.17
1962-08-15,10356.86
1962-08-16,10391.51
1962-08-17,10393.2
1962-08-20,10411.45
1962-08-21,10429.74
1962-08-22,10431.43
1962-08-23,10433.11
1962-08-24,10434.8
1962-08-27,10419.87
1962-08-28,10421.56
1962-08-29,10423.25
1962-08-30,10408.35
1962-08-31,10410.04
1962-09-04,10411.73
1962-09-05,10396.88
1962-09-06,10398.57
1962-09-07,10383.75
1962-09-10,10385.45
1962-09-11,10387.15
1962-09-12,10405.35
1962-09-13,10407.05
1962-09-14,10408.74
1962-09-17,10410.44
1962-09-18,10412.14
1962-09-19,10413.83
1962-09-20,10415.53
1962-09-21,10417.23
1962-09-24,10435.5
1962-09-25,10437.2
1962-09-26,10438.89
1962-09-27,10457.22
1962-09-28,10475.59
1962-10-01,10494.01
1962-10-02,10512.48
1962-10-03,10530.99
1962-10-04,10532.68
1962-10-05,10517.54
1962-10-08,10519.23
1962-10-09,10520.92
1962-10-10,10539.45
1962-10-11,10541.14
1962-10-12,10542.83
1962-10-15,10544.53
1962-10-16,10546.22
1962-10-17,10531.06
1962-10-18,10549.6
1962-10-19,10619.11
1962-10-22,10569.77
1962-10-23,10554.55
1962-10-24,10556.24
1962-10-25,10541.07
1962-10-26,10559.63
1962-10-29,10561.32
1962-10-30,10563.02
1962-10-31,10564.72
1962-11-01,10566.41
1962-11-02,10568.11
1962-11-05,10586.73
1962-11-07,10588.43
1962-11-08,10607.1
1962-11-09,10625.82
1962-11-12,10627.52
1962-11-13,10612.17
1962-11-14,10596.87
1962-11-15,10598.57
1962-11-16,10583.31
1962-11-19,10568.09
1962-11-20,10586.7
1962-11-21,10588.4
1962-11-23,10590.1
1962-11-26,10591.8
1962-11-27,10593.5
1962-11-28,10595.2
1962-11-29,10596.9
1962-11-30,10598.6
1962-12-03,10583.37
1962-12-04,10568.17
1962-12-05,10569.88
1962-12-06,10588.48
1962-12-07,10590.18
1962-12-10,10608.83
1962-12-11,10627.53
1962-12-12,10646.27
1962-12-13,10647.97
1962-12-14,10649.67
1962-12-17,10668.47
1962-12-18,10687.31
1962-12-19,10689.01
1962-12-20,10690.71
1962-12-21,10692.41
1962-12-24,10711.31
1962-12-26,10713.01
1962-12-27,10697.49
1962-12-28,10682.02
1962-12-31,10666.59
1963-01-02,10685.42
1963-01-03,10687.12
1963-01-04,10654.59
1963-01-07,10673.38
1963-01-08,10657.99
1963-01-09,10659.7
1963-01-10,10678.5
1963-01-11,10697.35
1963-01-14,10699.05
1963-01-15,10700.76
1963-01-16,10702.46
1963-01-17,10669.88
1963-01-18,10654.52
1963-01-21,10639.2
1963-01-22,10623.93
1963-01-23,10625.64
1963-01-24,10627.36
1963-01-25,10646.06
1963-01-28,10630.77
1963-01-29,10632.49
1963-01-30,10651.2
1963-01-31,10635.91
1963-02-01,10637.62
1963-02-04,10622.38
1963-02-05,10624.09
1963-02-06,10625.81
1963-02-07,10627.53
1963-02-08,10646.22
1963-02-11,10647.93
1963-02-12,10649.65
1963-02-13,10634.39
1963-02-14,10636.11
1963-02-15,10654.81
1963-02-18,10656.53
1963-02-19,10658.25
1963-02-20,10659.97
1963-02-21,10644.69
1963-02-25,10629.45
1963-02-26,10631.17
1963-02-27,10632.9
1963-02-28,10651.58
1963-03-01,10653.3
1963-03-04,10655.02
1963-03-05,10673.76
1963-03-06,10675.48
1963-03-07,10677.2
1963-03-08,10661.9
1963-03-11,10663.62
1963-03-12,10665.35
1963-03-13,10650.08
1963-03-14,10651.81
1963-03-15,10653.54
1963-03-18,10655.26
1963-03-19,10640.04
1963-03-20,10658.72
1963-03-21,10643.48
1963-03-22,10645.21
1963-03-25,10630.02
1963-03-26,10631.75
1963-03-27,10633.49
1963-03-28,10635.22
1963-03-29,10636.95
1963-04-01,10638.68
1963-04-02,10623.53
1963-04-03,10625.26
1963-04-04,10643.89
1963-04-05,10645.62
1963-04-08,10613.58
1963-04-09,10615.32
1963-04-10,10583.46
1963-04-11,10585.2
1963-04-15,10570.21
1963-04-16,10571.95
1963-04-17,10557
1963-04-18,10575.43
1963-04-19,10593.92
1963-04-22,10595.66
1963-04-23,10597.4
1963-04-24,10599.15
1963-04-25,10600.89
1963-04-26,10602.63
1963-04-29,10604.38
1963-04-30,10606.12
1963-05-01,10624.67
1963-05-02,10626.42
1963-05-03,10628.16
1963-05-06,10646.76
1963-05-07,10665.41
1963-05-08,10667.15
1963-05-09,10651.97
1963-05-10,10653.72
1963-05-13,10655.46
1963-05-14,10674.13
1963-05-15,10692.84
1963-05-16,10694.58
1963-05-17,10679.34
1963-05-20,10664.15
1963-05-21,10682.83
1963-05-22,10667.63
1963-05-23,10669.37
1963-05-24,10654.22
1963-05-27,10655.96
1963-05-28,10657.71
1963-05-29,10659.46
1963-05-31,10661.21
1963-06-03,10646.09
1963-06-04,10664.71
1963-06-05,10666.46
1963-06-06,10668.21
1963-06-07,10686.88
1963-06-10,10688.63
1963-06-11,10707.35
1963-06-12,10692.12
1963-06-13,10693.87
1963-06-14,10695.62
1963-06-17,10697.37
1963-06-18,10699.12
1963-06-19,10700.87
1963-06-20,10702.63
1963-06-21,10704.38
1963-06-24,10689.17
1963-06-25,10690.93
1963-06-26,10692.68
1963-06-27,10694.43
1963-06-28,10696.19
1963-07-01,10681.02
1963-07-02,10649.04
1963-07-03,10650.8
1963-07-05,10635.76
1963-07-08,10620.76
1963-07-09,10622.52
1963-07-10,10624.29
1963-07-11,10626.05
1963-07-12,10627.82
1963-07-15,10646.35
1963-07-16,10648.11
1963-07-17,10649.88
1963-07-18,10668.46
1963-07-19,10687.09
1963-07-22,10688.85
1963-07-23,10690.62
1963-07-24,10709.3
1963-07-25,10711.06
1963-07-26,10729.8
1963-07-29,10731.56
1963-07-30,10733.32
1963-07-31,10735.08
1963-08-01,10736.84
1963-08-02,10755.63
1963-08-05,10757.39
1963-08-06,10742.11
1963-08-07,10743.87
1963-08-08,10745.64
1963-08-09,10747.4
1963-08-12,10749.17
1963-08-13,10750.93
1963-08-14,10735.68
1963-08-15,10754.45
1963-08-16,10756.22
1963-08-19,10775.05
1963-08-20,10759.74
1963-08-21,10761.5
1963-08-22,10763.27
1963-08-23,10765.04
1963-08-26,10766.8
1963-08-27,10768.57
1963-08-28,10770.34
1963-08-29,10755.06
1963-08-30,10756.83
1963-09-03,10741.59
1963-09-04,10726.4
1963-09-05,10660.71
1963-09-06,10662.49
1963-09-09,10647.52
1963-09-10,10666.04
1963-09-11,10667.82
1963-09-12,10669.6
1963-09-13,10671.39
1963-09-16,10673.17
1963-09-17,10674.95
1963-09-18,10676.73
1963-09-19,10678.51
1963-09-20,10697.1
1963-09-23,10698.88
1963-09-24,10700.67
1963-09-25,10702.45
1963-09-26,10704.23
1963-09-27,10722.88
1963-09-30,10724.66
1963-10-01,10726.44
1963-10-02,10728.22
1963-10-03,10730.01
1963-10-04,10714.9
1963-10-07,10699.83
1963-10-08,10701.62
1963-10-09,10686.6
1963-10-10,10688.38
1963-10-11,10690.17
1963-10-14,10691.96
1963-10-15,10676.97
1963-10-16,10678.76
1963-10-17,10663.82
1963-10-18,10665.61
1963-10-21,10667.4
1963-10-22,10669.2
1963-10-23,10670.99
1963-10-24,10672.78
1963-10-25,10674.58
1963-10-28,10676.37
1963-10-29,10661.45
1963-10-30,10663.25
1963-10-31,10648.37
1963-11-01,10633.53
1963-11-04,10635.33
1963-11-06,10603.97
1963-11-07,10605.78
1963-11-08,10624.13
1963-11-11,10625.93
1963-11-12,10627.74
1963-11-13,10629.54
1963-11-14,10664.59
1963-11-15,10666.39
1963-11-18,10668.19
1963-11-19,10670
1963-11-20,10671.8
1963-11-21,10673.6
1963-11-22,10675.4
1963-11-26,10677.21
1963-11-27,10679.01
1963-11-29,10680.81
1963-12-02,10649.28
1963-12-03,10651.09
1963-12-04,10652.89
1963-12-05,10654.7
1963-12-06,10656.51
1963-12-09,10658.32
1963-12-10,10660.13
1963-12-11,10645.32
1963-12-12,10630.55
1963-12-13,10632.36
1963-12-16,10617.64
