date,value
1885-03-20,10000.00
1885-03-23,9762.05
1885-03-24,9442.65
1885-03-25,9684.40
1885-03-26,9924.14
1885-03-27,9939.97
1885-03-30,9555.29
1885-03-31,9660.76
1885-04-01,9694.47
1885-04-02,9752.47
1885-04-06,9701.24
1885-04-07,9329.09
1885-04-08,9432.85
1885-04-09,10137.70
1885-04-10,9823.39
1885-04-13,10302.82
1885-04-14,10438.60
1885-04-15,11001.05
1885-04-16,10702.28
1885-04-17,10492.92
1885-04-20,10496.51
1885-04-21,10423.66
1885-04-22,10515.98
1885-04-23,10564.19
1885-04-24,10420.71
1885-04-27,10455.96
1885-04-28,10529.37
1885-04-29,10577.60
1885-04-30,10677.15
1885-05-01,10468.36
1885-05-04,9620.90
1885-05-05,9480.40
1885-05-06,9780.78
1885-05-07,9481.14
1885-05-08,9870.46
1885-05-11,9752.02
1885-05-12,9622.46
1885-05-13,9625.91
1885-05-14,9629.36
1885-05-15,9836.62
1885-05-18,10052.86
1885-05-19,10062.54
1885-05-20,9911.80
1885-05-21,10086.30
1885-05-22,10318.40
1885-05-25,10033.45
1885-05-26,10160.04
1885-05-27,10002.23
1885-05-28,9901.34
1885-05-29,9685.30
1885-06-01,9550.57
1885-06-02,9720.65
1885-06-03,9904.74
1885-06-04,9719.25
1885-06-05,9494.00
1885-06-08,9450.03
1885-06-09,9542.03
1885-06-10,9616.78
1885-06-11,9877.09
1885-06-12,10026.48
1885-06-15,10294.00
1885-06-16,10191.32
1885-06-17,10194.84
1885-06-18,10378.34
1885-06-19,10603.89
1885-06-22,10452.46
1885-06-23,10392.04
1885-06-24,10733.19
1885-06-25,10541.54
1885-06-26,10326.50
1885-06-29,9822.81
1885-06-30,9758.83
1885-07-01,9573.09
1885-07-02,9359.64
1885-07-03,9671.56
1885-07-06,9674.99
1885-07-07,9575.33
1885-07-08,10060.47
1885-07-09,10126.16
1885-07-10,10129.64
1885-07-13,11151.57
1885-07-14,11294.91
1885-07-15,11781.66
1885-07-16,11599.05
1885-07-17,12060.12
1885-07-20,11965.75
1885-07-21,11983.38
1885-07-22,12544.98
1885-07-23,13102.17
1885-07-24,12595.62
1885-07-27,12188.82
1885-07-28,12270.03
1885-07-29,12648.76
1885-07-30,12601.98
1885-07-31,12713.75
1885-08-03,12420.58
1885-08-04,12531.25
1885-08-05,12448.95
1885-08-06,12631.15
1885-08-07,12959.24
1885-08-10,13116.96
1885-08-11,13046.87
1885-08-12,13529.18
1885-08-13,13261.57
1885-08-14,13734.05
1885-08-17,15016.92
1885-08-18,14036.06
1885-08-19,14649.18
1885-08-20,14288.19
1885-08-21,14346.68
1885-08-24,14084.66
1885-08-25,13694.58
1885-08-26,13857.59
1885-08-27,14380.87
1885-08-28,14095.12
1885-08-31,13481.17
1885-09-01,13215.17
1885-09-02,13507.34
1885-09-03,13338.61
1885-09-04,13215.95
1885-09-07,12000.07
1885-09-08,12287.59
1885-09-09,12445.99
1885-09-10,12102.19
1885-09-11,12217.20
1885-09-14,12795.11
1885-09-15,12632.79
1885-09-16,13001.53
1885-09-17,12873.98
1885-09-18,13192.00
1885-09-21,13032.03
1885-09-22,13095.31
1885-09-23,13129.10
1885-09-24,12925.09
1885-09-25,12745.32
1885-09-28,13354.07
1885-09-29,13283.07
1885-09-30,13564.15
1885-10-01,13484.82
1885-10-02,13126.13
1885-10-05,14280.82
1885-10-06,14347.80
1885-10-07,15170.40
1885-10-08,15199.18
1885-10-09,15358.77
1885-10-12,15914.42
1885-10-13,16213.63
1885-10-14,16414.17
1885-10-15,15937.10
1885-10-16,16649.45
1885-10-19,17842.36
1885-10-20,18446.07
1885-10-21,18459.88
1885-10-22,17443.14
1885-10-23,17742.49
1885-10-26,17123.44
1885-10-27,17780.79
1885-10-28,18138.04
1885-10-29,17821.77
1885-10-30,18496.45
1885-11-02,19094.99
1885-11-04,18663.53
1885-11-05,19433.45
1885-11-06,18920.38
1885-11-09,19207.38
1885-11-10,19687.38
1885-11-11,20581.15
1885-11-12,20526.08
1885-11-13,21017.45
1885-11-16,20870.77
1885-11-17,21658.68
1885-11-18,21858.88
1885-11-19,22567.55
1885-11-20,22011.92
1885-11-23,20166.02
1885-11-24,21875.43
1885-11-25,21559.73
1885-11-27,20592.15
1885-11-30,20547.16
1885-12-01,20006.91
1885-12-02,20196.39
1885-12-03,20279.32
1885-12-04,20529.35
1885-12-07,20326.15
1885-12-08,20497.87
1885-12-09,20344.34
1885-12-10,19444.26
1885-12-11,19525.12
1885-12-14,18085.57
1885-12-15,19088.93
1885-12-16,20053.25
1885-12-17,19591.25
1885-12-18,19940.94
1885-12-21,19103.02
1885-12-22,18089.35
1885-12-23,18221.58
1885-12-24,18860.99
1885-12-28,19477.38
1885-12-29,20424.55
1885-12-30,20468.24
1885-12-31,20352.88
1886-01-04,20406.37
1886-01-05,19854.71
1886-01-06,20004.76
1886-01-07,19881.46
1886-01-08,19515.01
1886-01-11,19268.66
1886-01-12,19138.97
1886-01-13,18354.41
1886-01-14,18746.18
1886-01-15,17654.36
1886-01-18,16758.86
1886-01-19,17248.90
1886-01-20,17111.12
1886-01-21,17581.41
1886-01-22,17217.85
1886-01-25,16391.12
1886-01-26,16864.97
1886-01-27,16877.46
1886-01-28,17186.19
1886-01-29,17172.35
1886-02-01,18497.94
1886-02-02,18612.82
1886-02-03,18941.83
1886-02-04,18992.67
1886-02-05,19514.31
1886-02-08,20016.56
1886-02-09,20605.21
1886-02-10,19834.21
1886-02-11,20041.41
1886-02-12,20142.76
1886-02-15,20293.34
1886-02-16,20444.63
1886-02-17,20122.59
1886-02-18,19315.47
1886-02-19,19110.19
1886-02-23,18934.71
1886-02-24,18938.52
1886-02-25,18773.52
1886-02-26,18730.71
1886-03-01,18427.36
1886-03-02,19370.09
1886-03-03,19383.41
1886-03-04,18844.77
1886-03-05,18923.27
1886-03-08,18777.25
