date,value
1969-12-31,10000
1970-01-02,10121.69
1970-01-05,10204.83
1970-01-06,10020.38
1970-01-07,10158.07
1970-01-08,10223.57
1970-01-09,10128.25
1970-01-12,10031.24
1970-01-13,10023.81
1970-01-14,10106.06
1970-01-15,10140.36
1970-01-16,10200.19
1970-01-19,10160.19
1970-01-20,10219.12
1970-01-21,10115.31
1970-01-22,10285.06
1970-01-23,10200.61
1970-01-26,10088.95
1970-01-27,10044.83
1970-01-28,9938.1
1970-01-29,9812.87
1970-01-30,9786
1970-02-02,9717.74
1970-02-03,9619.18
1970-02-04,9730.31
1970-02-05,9678.3
1970-02-06,9705.48
1970-02-09,9838.52
1970-02-10,9811.32
1970-02-11,9776.53
1970-02-12,9643.84
1970-02-13,9763.17
1970-02-16,9737.46
1970-02-17,9584.76
1970-02-18,9677.15
1970-02-19,9726.03
1970-02-20,9552.63
1970-02-24,9565.31
1970-02-25,9533.94
1970-02-26,9673.49
1970-02-27,9659
1970-03-02,9596.54
1970-03-03,9556.5
1970-03-04,9670.79
1970-03-05,9609.78
1970-03-06,9635.81
1970-03-09,9485.37
1970-03-10,9410.43
1970-03-11,9433.84
1970-03-12,9364.33
1970-03-13,9364.98
1970-03-16,9265.54
1970-03-17,9161.01
1970-03-18,9268.13
1970-03-19,9223.44
1970-03-20,9177.45
1970-03-23,9214.28
1970-03-24,9332.63
1970-03-25,9562.23
1970-03-26,9666.88
1970-03-30,9685.65
1970-03-31,9650
1970-04-01,9707.55
1970-04-02,9766.24
1970-04-03,9851.02
1970-04-06,9730.88
1970-04-07,9681.69
1970-04-08,9713.77
1970-04-09,9743.38
1970-04-10,9650.13
1970-04-13,9564.76
1970-04-14,9438.27
1970-04-15,9376.3
1970-04-16,9270.94
1970-04-17,9275.98
1970-04-20,9264.04
1970-04-21,9153.26
1970-04-22,9047.02
1970-04-23,8973.46
1970-04-24,8930.24
1970-04-27,8705.08
1970-04-28,8541.9
1970-04-29,8699.04
1970-04-30,8635
1970-05-01,8673.41
1970-05-04,8717.54
1970-05-05,8682.8
1970-05-06,8675.46
1970-05-07,8647.28
1970-05-08,8568.68
1970-05-11,8495.78
1970-05-12,8521.18
1970-05-13,8574.93
1970-05-14,8393.26
1970-05-15,8524.52
1970-05-18,8451.36
1970-05-19,8490.58
1970-05-20,8270.38
1970-05-21,8210.1
1970-05-22,8267.83
1970-05-25,8176.02
1970-05-26,8170.66
1970-05-27,8093.45
1970-05-28,8103.05
1970-05-29,7993
1970-06-01,8069.8
1970-06-02,8134.46
1970-06-03,8237.34
1970-06-04,8146.07
1970-06-05,8283.8
1970-06-08,8169.8
1970-06-09,8164.78
1970-06-10,8062.91
1970-06-11,7974.11
1970-06-12,7962.93
1970-06-15,7922.21
1970-06-16,8010.8
1970-06-17,7980.04
1970-06-18,8028.57
1970-06-19,8063.36
1970-06-22,7952.04
1970-06-23,7855.48
1970-06-24,7979.68
1970-06-25,8010.68
1970-06-26,8036.89
1970-06-29,8083.25
1970-06-30,8076
1970-07-01,8168.86
1970-07-02,8185.77
1970-07-06,8061.37
1970-07-07,7980.98
1970-07-08,8136.13
1970-07-09,8204.99
1970-07-10,8217.29
1970-07-13,8246.77
1970-07-14,8249.6
1970-07-15,8365.85
1970-07-16,8417.27
1970-07-17,8568.22
1970-07-20,8536.89
1970-07-21,8587.9
1970-07-22,8450.41
1970-07-23,8545.4
1970-07-24,8515.21
1970-07-27,8475.95
1970-07-28,8470.79
1970-07-29,8489.76
1970-07-30,8499.02
1970-07-31,8389
1970-08-03,8218.47
1970-08-04,8174.53
1970-08-05,8161.94
1970-08-06,8234.8
1970-08-07,8202.28
1970-08-10,8164.37
1970-08-11,8142.52
1970-08-12,8002.88
1970-08-13,8053.36
1970-08-14,8146.99
1970-08-17,8137.77
1970-08-18,8157.28
1970-08-19,8259.82
1970-08-20,8391.76
1970-08-21,8332.57
1970-08-24,8496.83
1970-08-25,8518.98
1970-08-26,8534.59
1970-08-27,8478.7
1970-08-28,8512.42
1970-08-31,8549
1970-09-01,8329.47
1970-09-02,8280.68
1970-09-03,8386.01
1970-09-04,8463.75
