date,value
1969-12-31,10000
1970-01-02,10237.74
1970-01-05,10373.1
1970-01-06,10147.54
1970-01-07,10217.82
1970-01-08,10265.36
1970-01-09,10159.9
1970-01-12,9986.84
1970-01-13,9988.68
1970-01-14,10007.79
1970-01-15,10023.63
1970-01-16,9949.84
1970-01-19,9747.48
1970-01-20,9806.04
1970-01-21,9749.59
1970-01-22,9869.11
1970-01-23,9674.62
1970-01-26,9457.93
1970-01-27,9345.45
1970-01-28,9155.59
1970-01-29,8915.74
1970-01-30,8793.21
1970-02-02,8851.2
1970-02-03,8944.3
1970-02-04,8921.53
1970-02-05,8841.04
1970-02-06,8927.66
1970-02-09,9105.84
1970-02-10,8973.76
1970-02-11,9062.57
1970-02-12,8957.25
1970-02-13,9006.77
1970-02-16,8982.75
1970-02-17,8867.45
1970-02-18,9065.58
1970-02-19,9129.4
1970-02-20,9064.16
1970-02-24,9068.67
1970-02-25,9236.83
1970-02-26,9257.8
1970-02-27,9335.61
1970-03-02,9312.69
1970-03-03,9360.68
1970-03-04,9401.25
1970-03-05,9360.13
1970-03-06,9288.81
1970-03-09,9059.33
1970-03-10,9030.32
1970-03-11,9028
1970-03-12,8922.61
1970-03-13,8846.78
1970-03-16,8648.15
1970-03-17,8630.68
1970-03-18,8726.13
1970-03-19,8664.61
1970-03-20,8575.71
1970-03-23,8581.67
1970-03-24,8770.37
1970-03-25,9163.97
1970-03-26,9240.94
1970-03-30,9217.28
1970-03-31,9189.15
1970-04-01,9279.84
1970-04-02,9266.34
1970-04-03,9256.18
1970-04-06,9078.76
1970-04-07,9004.38
1970-04-08,8999.99
1970-04-09,9004.99
1970-04-10,8895.01
1970-04-13,8735.02
1970-04-14,8557.94
1970-04-15,8485.09
1970-04-16,8291.7
1970-04-17,8256.85
1970-04-20,8274.05
1970-04-21,8145.68
1970-04-22,7920.57
1970-04-23,7701.22
1970-04-24,7623.34
1970-04-27,7308.56
1970-04-28,7073.97
1970-04-29,7359.5
1970-04-30,7283.93
1970-05-01,7290.49
1970-05-04,7057.23
1970-05-05,6930.54
1970-05-06,7039.13
1970-05-07,7080.19
1970-05-08,6988.4
1970-05-11,6844.62
1970-05-12,6771.34
1970-05-13,6637.43
1970-05-14,6408.71
1970-05-15,6631.91
1970-05-18,6606.5
1970-05-19,6446.31
1970-05-20,6106.18
1970-05-21,5910.94
1970-05-22,5925.53
1970-05-25,5625.21
